EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,64,200",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-RAYAGADA,NCB 05 RWC RGDA 2025 26,2025_CERWI_114827_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"Chief Construction Engineer,RW Circle,Rayagada","O/O the Chief Construction Engineer,RW Circle,Rayagada near Hathipathar road,Raniguda Farm",25-Jun-2025 01:00 PM,05-Jul-2025 11:00 AM,25-Jun-2025 01:00 PM,04-Jul-2025 05:00 PM,25-Jun-2025 01:00 PM ,03-Jul-2025 05:00 PM ,25-Jun-2025 01:00 PM,04-Jul-2025 05:00 PM,30-Aug-2025 11:00 AM,Construction of Gira to Murisahi via Gangapur road in the District of Gajapati under MMSY- TRIP for the year 2024-25.,Construction of Gira to Murisahi via Gangapur road in the District of Gajapati under MMSY- TRIP for the year 2024-25.,NA ,NA ,"6,64,20,000",Civil Works - Roads,NA ,Tender,90.0,330.0,Gajapati,761200.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Experience Machinery and other papers as per DTCN,AOC,1,2982833,ALLAPA AKHIL KUMAR,02-Jul-2025 10:25 AM,Rejected-Finance,Reject,31-Dec-2025 06:32 PM,26-Jan-2026,"INR 56,463,192",330.0,Binod Behari Das,26-Jan-2026 08:34 AM,gira.pdf (939.00 KB),admitted,Finance,VERIFIED,Binod Behari Das,02-Sep-2025 12:51 PM,,BOQ Comparative Chart,"Estimator,DAO, Executive Engineer of R.W.Division, Gajapati and Estimator PA to CCE,CCE R.W.Circle Rayagada",Internal,,Binod Behari Das,22-Aug-2025 04:05 PM,30-Aug-2025 11:00 AM,techsummary_544301.pdf (326.89 KB),OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,31-Dec-2025 06:32 PM,finsummary_544301.pdf (12267.20 KB),Technical,tenders to be verified,Binod Behari Das,22-Aug-2025 03:34 PM,,CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_114827_1,NCB 05 RWC RGDA 2025 26,Construction of Gira to Murisahi via Gangapur road in the District of Gajapati under MMSY- TRIP for the year 2024-25.,1.0,2989031.0,Upendra Bhanja Panda,INR,"56,463,192",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,2,2988897,DEMANTI AGRAWAL,04-Jul-2025 01:38 PM,Rejected-Finance,Reject,31-Dec-2025 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2986214,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,04-Jul-2025 12:54 PM,Rejected-Finance,Reject,31-Dec-2025 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2982638,KISHOR CHANDRA SIBALA,01-Jul-2025 06:42 PM,Rejected-Finance,Reject,31-Dec-2025 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2983790,KRISHNA CHANDRA NIMALU,04-Jul-2025 10:36 AM,Rejected-Finance,Reject,31-Dec-2025 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2986853,M/S S. KARUNAKAR RAO,04-Jul-2025 02:16 PM,Rejected-Finance,Reject,31-Dec-2025 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2987668,OM CONSTRUCTIONS,03-Jul-2025 01:11 PM,Rejected-Finance,Reject,31-Dec-2025 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2988777,Subrat Kumar Patro,04-Jul-2025 01:35 PM,Rejected-AOC,work awarded to Upendra Bhanja Panda,26-Jan-2026 08:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2984877,Umakanta Sahu,04-Jul-2025 03:40 PM,Rejected-Finance,Reject,31-Dec-2025 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2989031,Upendra Bhanja Panda,04-Jul-2025 02:49 PM,Accepted-AOC,work awarded to Upendra Bhanja Panda,26-Jan-2026 08:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
