Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,2nd Corrigedum,Date,,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",Improvement such as widening and strengthening of Sergarh- Nilagiri-Kaptipada-Udala - Baripada - Medinpur border road (SH-19) from 31/300 km to 60/000 km in the district of Mayurbhanj under State Plan,Improvement such as widening and strengthening of Sergarh-Nilagiri-Kaptipada - Udala-Baripada- Medinpur border road (SH-19) from 31/300 km to 60/000 km in the district of Mayurbhanj under State Plan,Please refer Tender documents. ,NA ,"48,61,18,174",Civil Works - Roads,NA ,Tender,90.0,540.0,Mayurbhanj Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,20-Mar-2025 06:10 PM,30-Apr-2025 11:30 AM,20-Mar-2025 06:10 PM,29-Apr-2025 05:30 PM,NA ,NA ,20-Mar-2025 06:10 PM,29-Apr-2025 05:30 PM,30-Oct-2025 05:00 PM,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",EIC-CIVIL,CE-ROADS-II-25/2024-25,2025_EICCL_111820_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"48,61,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,1,2900529,ACP CONSTRUCTION,29-Apr-2025 03:49 PM,Rejected-AOC,L1 bidder,13-Jan-2026 04:25 PM,13-Jan-2026,"INR 413,249,060",540.0,Pradipta Kumar Nayak,13-Jan-2026 04:24 PM,SNKUBM_Agrt.pdf (299.00 KB),1381 P1 of 2025-26,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,29-Oct-2025 01:05 PM,30-Oct-2025 05:00 PM,techsummary_533899.pdf (536.67 KB),Finance,Opening,Pradipta Kumar Nayak,31-Oct-2025 05:15 PM,,BOQ Comparative Chart,Technical,Opening,Pradipta Kumar Nayak,30-Apr-2025 12:23 PM,,EIC-CIVIL,2025_EICCL_111820_2,CE-ROADS-II-25/2024-25,Improvement such as widening and strengthening of Sergarh- Nilagiri-Kaptipada-Udala - Baripada - Medinpur border road (SH-19) from 31/300 km to 60/000 km in the district of Mayurbhanj under State Plan,CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,13-Jan-2026 04:11 PM,finsummary_533899.pdf (298.59 KB),1.0,2878091.0,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,INR,"413,249,060",AOC
,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2877830,Ashirbad Eng & Construction Private Limited,21-Apr-2025 11:37 AM,Rejected-Finance,Other than L1 and L2 bidder,13-Jan-2026 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2877694,BALBHADRA DEVELOPERS PRIVATE LIMITED,07-Apr-2025 06:19 PM,Rejected-AOC,L1 bidder,13-Jan-2026 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2876290,B DAS AND ASSOCIATES PRIVATE LIMITED,29-Apr-2025 02:37 PM,Rejected-AOC,L1 bidder,13-Jan-2026 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2879031,BINAYAK CONSTRUCTION AND ENGINEERS PVT LTD,08-Apr-2025 04:16 PM,Rejected-Technical,Disqualified,29-Oct-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2878290,GVV CONSTRUCTIONS PRIVATE LIMITED,19-Apr-2025 11:54 AM,Rejected-AOC,L1 bidder,13-Jan-2026 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2873961,IRON TRAINGLE LIMITED,08-Apr-2025 03:29 PM,Rejected-AOC,L1 bidder,13-Jan-2026 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2878091,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,18-Apr-2025 01:46 PM,Accepted-AOC,Selected as L1 bidder,13-Jan-2026 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2863944,MACKINTOSH BURN LIMITED,29-Apr-2025 04:44 PM,Rejected-AOC,L1 bidder,13-Jan-2026 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2872027,M/S BIG BUILD INFRASTRUCTURE & CO,06-Apr-2025 09:53 PM,Rejected-AOC,L1 bidder,13-Jan-2026 04:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
