S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Regist_of_licence_GST_Regd_PAN_Paper_cost_Affidavit_Decl_and_other_doc_as_per_DTCN,"17,000",Yes,fixed,,Nil,Nil,"Executive Officer, pipli NAC","Office of the Executive officer, Pipli NAC, Pipli","6,000",0.0,Nil,Nil,No,"Construction of new gate and cooking shed at nac office, pipli","Construction of new gate and cooking shed at nac office, pipli",Please refer Tender documents. ,NA ,"16,92,494",Civil Works - Others,NA ,Tender,90.0,60.0,Pipli NAC,752104.0,NA ,NA ,NA ,"Office of the Executive officer, Pipli NAC, Pipli",No ,No,Municipal Bodies||Pipli NAC,PIPILI-NAC-5(71)/2025-26,2025_ORULB_121427_71,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Having no experience,Other,,27-Nov-2025 12:00 PM,09-Dec-2025 11:00 AM,27-Nov-2025 12:00 PM,08-Dec-2025 05:00 PM,NA ,NA ,27-Nov-2025 12:00 PM,08-Dec-2025 05:00 PM,AOC,Chairperson,Internal,,Kadambini Jena,28-Jan-2026 01:23 PM,techsummary_567418.pdf (655.70 KB),Chairperson,Internal,,Kadambini Jena,28-Jan-2026 01:27 PM,finsummary_567418.pdf (655.70 KB),Finance,3 nos. of bidder have partcipated in bidding process,Kadambini Jena,28-Jan-2026 01:17 PM,finance_567418.pdf,BOQ Comparative Chart,1.0,3287322.0,Shrabani Barik,INR,"1,692,480",Municipal Bodies||Pipli NAC,2025_ORULB_121427_71,PIPILI-NAC-5(71)/2025-26,"Construction of new gate and cooking shed at nac office, pipli",1,3287370,Sagar Majhi,08-Dec-2025 05:33 AM,Rejected-AOC,As per quoted rate.,28-Jan-2026 01:53 PM,28-Jan-2026,"INR 1,692,480",60.0,Kadambini Jena,28-Jan-2026 01:52 PM,01.pdf (656.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3287322,Shrabani Barik,08-Dec-2025 07:09 AM,Accepted-AOC,As per quoted rate.,28-Jan-2026 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3285087,SK FIROZ UDDIN,08-Dec-2025 01:21 PM,Rejected-Technical,Not submitted all required doc. as per dtcn.,28-Jan-2026 01:23 PM,,,,,,,AOC
