Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_116646_1,E-procurement Notice No.32/OCCL/2025-26(on-line),Improvement to Canal Service Road of Right bank of Lahanda Minor in between RD 3600 M to RD 7300 M for the year 2024-25.,1.0,3051405.0,Leaptree Engineers Pvt. Ltd.,INR,"19,516,715",MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,16-Oct-2025 11:12 PM,17-Oct-2025 11:30 AM,techsummary_548816.pdf (52.38 KB),MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,15-Nov-2025 04:32 PM,finsummary_548816.pdf (539.92 KB),22-Jan-2026,"INR 22,958,141",180.0,Sarat Chandra Ghadei,22-Jan-2026 12:58 PM,AOC_SMP_07.pdf (737.00 KB),AOC,1,3047021,AMRIT PRADHAN,26-Aug-2025 02:22 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:32 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,29-Aug-2025 01:15 PM,,Finance,Opened Successfully.,Pratap Chandra Chaudhury,17-Oct-2025 01:37 PM,,BOQ Comparative Chart,AOC,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012","11,800",Nil,Nil,No,ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.32/OCCL/2025-26(on-line),2025_OCCL_116646_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,30,000",Yes,fixed,,Nil,Nil,Improvement to Canal Service Road of Right bank of Lahanda Minor in between RD 3600 M to RD 7300 M for the year 2024-25.,Improvement to Canal Service Road of Right bank of Lahanda Minor in between RD 3600 M to RD 7300 M for the year 2024-25.,AS PER DTCN. ,NA ,"2,29,58,141",Civil Works - Others,NA ,Tender,90.0,180.0,Godbhaga town in Bargarh district.,768111.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",08-Aug-2025 06:00 PM,29-Aug-2025 12:00 PM,08-Aug-2025 06:00 PM,28-Aug-2025 05:30 PM,08-Aug-2025 06:00 PM ,14-Aug-2025 03:30 PM ,08-Aug-2025 06:00 PM,28-Aug-2025 05:30 PM,17-Oct-2025 11:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3052785,BHOOMEE CONDEV PRIVATE LIMITED,28-Aug-2025 03:51 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3051405,Leaptree Engineers Pvt. Ltd.,27-Aug-2025 04:43 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,22-Jan-2026 12:58 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3050570,MITTAL INFRAPROJECTS,26-Aug-2025 08:16 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3052048,M/s Vikash Agrawal,28-Aug-2025 04:15 PM,Rejected-Finance,L4 BIDDER.,15-Nov-2025 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3051905,NIKHIL SARDA,27-Aug-2025 10:24 PM,Rejected-Finance,L2 BIDDER.,15-Nov-2025 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3033215,Ranjan Kumar Das,17-Aug-2025 01:25 PM,Rejected-Finance,L2 BIDDER.,15-Nov-2025 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3052345,RUPESH AGRAWAL PROP. R S INFRA,28-Aug-2025 12:30 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3051627,RYTHAM AGRAWAL,27-Aug-2025 07:16 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3048822,SHIVAJYOTI CONPRO PVT. LTD.,28-Aug-2025 11:07 AM,Rejected-Finance,L3 BIDDER.,15-Nov-2025 04:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3051746,toshabantadash,27-Aug-2025 08:33 PM,Rejected-Technical,Non - Responsive.,16-Oct-2025 11:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
