Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,All bidders have qualified,Soubhagya Kumar Das,28-Nov-2025 04:34 PM,,BOQ Comparative Chart,1.0,3235921.0,SANJAY KUMAR JENA,INR,"2,341,168",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,2025_CERWI_121249_3,SE/RW/Jls- 14/2025-26,Periodical Maintenance of Bhograi PWD road Sultanpur GP office Chhack to Gabgaon irrigation Bandha (Bhuabandha) via Allabinha road for the year 2025-26.,Er. Saubhagya Kumar Das,Internal,,Nirupama Sankhua,20-Jan-2026 03:59 PM,finsummary_564292.pdf (790.64 KB),Er Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,28-Nov-2025 04:36 PM,techsummary_564292.pdf (481.74 KB),20-Jan-2026,"INR 2,753,991",90.0,Nirupama Sankhua,20-Jan-2026 04:03 PM,ofcchhakaworkorder.pdf (600.00 KB),1,3243520,AMULYA KUMAR PRADHAN,21-Nov-2025 11:41 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,"27,540",Yes,percentage,1.0%,Nil,Nil,Periodical Maintenance of Bhograi PWD road Sultanpur GP office Chhack to Gabgaon irrigation Bandha (Bhuabandha) via Allabinha road for the year 2025-26.,Road Works,Please refer Tender documents. ,NA ,"27,53,991",Civil Works - Roads,NA ,Tender,90.0,90.0,Jaleswar,756086.0,NA ,NA ,NA ,"Rural Works Division, Jaleswar",No ,No,"Superintending Engineer, R.W. Division, Jaleswar","At/Po- Chalanti, Via- Jaleswar",1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P. cost, EMD declaration, R.C., GST, PAN, Adhar, Affidavit etc as per DTCN",1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,SE/RW/Jls- 14/2025-26,2025_CERWI_121249_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,15-Nov-2025 10:00 AM,24-Nov-2025 11:00 AM,15-Nov-2025 11:00 AM,21-Nov-2025 05:00 PM,15-Nov-2025 11:00 AM ,20-Nov-2025 05:00 PM ,15-Nov-2025 11:00 AM,21-Nov-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3243273,KRUSHNAKINKAR GIRI,21-Nov-2025 10:28 AM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3244635,MANOJ KUMAR CHAND,21-Nov-2025 04:21 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3238375,NARAYAN CHANDRA DAS,19-Nov-2025 03:18 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3237266,RAMACHANDRA PRADHAN,19-Nov-2025 03:16 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3235921,SANJAY KUMAR JENA,21-Nov-2025 04:43 PM,Accepted-AOC,The work order has issued to the agency.,20-Jan-2026 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3239295,SATABDI CHAND,21-Nov-2025 02:23 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3239347,Subas Chandra Chand,21-Nov-2025 03:27 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3243646,SUCHITRA MIDYA,21-Nov-2025 12:05 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3240916,SUSHANTA GHOSH,20-Nov-2025 12:32 PM,Rejected-Finance,The bidder has not selected through the lottery system.,20-Jan-2026 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
