Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
S/R to RD Road - Routraigadia for the Year 2025-26Year 2025-26,Repair of Roads,"PAN,GST,RC and other relevant document as per DTCN. ",NA ,"10,16,995",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the Superintending Engineer, R.W.Division, Bha",No ,No,"10,170",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,1.0,ICICI BANK,14-Oct-2025 09:00 AM,23-Oct-2025 11:00 AM,14-Oct-2025 09:00 AM,22-Oct-2025 04:00 PM,14-Oct-2025 09:00 AM ,22-Oct-2025 02:00 PM ,14-Oct-2025 09:00 AM,22-Oct-2025 04:00 PM,Executive Engineer,"O/O the Superintending Engineer, R.W.Division, Bhadrak",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,TCN-07 of 2025-26,2025_CERWI_119425_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC,Executive Engineer,Internal,,Pallishree Sahoo,20-Dec-2025 06:03 PM,techsummary_555767.pdf (132.94 KB),Executive Engineer,Internal,,Pallishree Sahoo,29-Dec-2025 05:04 PM,finsummary_555767.pdf (132.94 KB),Finance,Total 16 nos Bidder,Pallishree Sahoo,20-Dec-2025 12:27 PM,finance_555767.pdf,BOQ Comparative Chart,1.0,3141398.0,MADHU SUDAN SAHOO,INR,"864,547",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,2025_CERWI_119425_10,TCN-07 of 2025-26,S/R to RD Road - Routraigadia for the Year 2025-26Year 2025-26,1,3135035,Bhanumati Prusti,22-Oct-2025 09:29 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,02-Jan-2026,"INR 864,547",60.0,Ganesh Chandra Hembram,02-Jan-2026 05:57 PM,6652.pdf (1410.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3142956,CHAKRADHAR DAS,22-Oct-2025 02:44 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3138297,Ganesh Chandra Bharati,20-Oct-2025 02:46 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3138928,GITA RANI SAHOO,21-Oct-2025 03:59 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3135168,Gobinda Chandra Sahoo,19-Oct-2025 11:09 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3138527,HITESH KUMAR PRUSTY,20-Oct-2025 04:23 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3138490,JANAKILATA SAHOO,22-Oct-2025 10:24 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3136074,KALINGA GOURAV DAS,20-Oct-2025 11:29 AM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3141398,MADHU SUDAN SAHOO,21-Oct-2025 10:46 PM,Accepted-AOC,successful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3142750,M/S ANITA CONSTRUCTION,22-Oct-2025 02:05 PM,Rejected-AOC,Unsuccessful Bidder selected through transparent lottery system.,02-Jan-2026 05:57 PM,,,,,,,AOC
