Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Bid opeing,Avijit Barik,17-Sep-2025 06:51 PM,finance_549068.pdf,BOQ Comparative Chart,1.0,3053571.0,Tulsimani Rudi,INR,"3,275,667",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_116775_1,SERWSBD Online 01 2025 26,Construction of Day Care Sub Centre Building at Aligaon under Semiliguda Block,Superintending Engineer,Internal,,Avijit Barik,17-Sep-2025 07:01 PM,finsummary_549068.pdf (412.61 KB),Superintending Engineer,Internal,,Avijit Barik,17-Sep-2025 06:56 PM,techsummary_549068.pdf (1477.09 KB),1,3046602,Ananta Kumar Senapati,24-Aug-2025 05:57 PM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,08-Oct-2025,"INR 3,275,667",180.0,Avijit Barik,01-Jan-2026 12:34 PM,wodayaligan.pdf (781.00 KB),AOC,Construction of Day Care Sub Centre Building at Aligaon under Semiliguda Block,Construction of Day Care Sub Centre Building at Aligaon under Semiliguda Block,NA ,NA ,"38,53,273",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"38,600",Yes,fixed,,Nil,Nil,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",14-Aug-2025 11:00 AM,30-Aug-2025 11:00 AM,14-Aug-2025 11:00 AM,29-Aug-2025 05:00 PM,14-Aug-2025 11:00 AM ,28-Aug-2025 05:00 PM ,14-Aug-2025 11:00 AM,29-Aug-2025 05:00 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 01 2025 26,2025_CERWI_116775_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3047315,Arabinda Samal,25-Aug-2025 11:07 AM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3054959,Barun Bandhu Nahak,29-Aug-2025 03:45 PM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3051656,BASANTA CHOUDHURY,27-Aug-2025 07:29 PM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3051983,BIKASH KUMAR PANDA,28-Aug-2025 02:05 PM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3053333,Bulu Prasad Malik,28-Aug-2025 08:43 PM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3048398,Gyana Ranjan Mohanty,25-Aug-2025 04:13 PM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3041706,Ranjit Kumar Nayak,19-Aug-2025 06:14 PM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3041531,SUNITA AGRAWAL,26-Aug-2025 02:15 PM,Rejected-AOC,Not qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3053571,Tulsimani Rudi,29-Aug-2025 12:01 AM,Accepted-AOC,Qualified,01-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
