Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,NITANDDTCN,EXECUTIVE OFFICER,HINJILICUT MUNICIPALITY,1.0,ICICI BANK,Municipal Bodies||Hinjilicut Municipal Council,HIN-MUN-03/2025-26,2025_ORULB_120042_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,568",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"Construction of Road near Bhaluka Bandha, Ward No-07 of Hinjilicut Municipality","Construction of Road near Bhaluka Bandha, Ward No-07 of Hinjilicut Municipality",Please refer Tender documents. ,NA ,"16,56,780",Civil Works - Roads,NA ,Tender,90.0,90.0,HINJILICUT MUNICIPALITY,761102.0,NA ,NA ,NA ,HINJILICUT MUNICIPALITY,No ,No,27-Oct-2025 10:00 AM,10-Nov-2025 11:00 AM,27-Oct-2025 10:00 AM,07-Nov-2025 05:00 PM,NA ,NA ,27-Oct-2025 10:00 AM,07-Nov-2025 05:00 PM,AOC,1,3193629,ANIL KUMAR SAHU,07-Nov-2025 04:06 PM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,05-Jan-2026,"INR 1,408,428.94",90.0,Sukanta Chandra Beura,05-Jan-2026 12:51 PM,AOC.pdf (349.00 KB),Chairperson Hinjilicut Municipality,Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Accountant, Hinjilicut Municipality",Sukanta Chandra Beura,05-Jan-2026 12:31 PM,techsummary_558165.pdf (304.11 KB),Chairperson Hinjilicut Municipality,Internal,"Executive Officer, Municipal Engineer, Junior Engineer, Accountant, Hinjilicut Municipality",Sukanta Chandra Beura,05-Jan-2026 12:45 PM,finsummary_558165.pdf (354.21 KB),Municipal Bodies||Hinjilicut Municipal Council,2025_ORULB_120042_3,HIN-MUN-03/2025-26,"Construction of Road near Bhaluka Bandha, Ward No-07 of Hinjilicut Municipality",1.0,3192662.0,PRAFULLA KUMAR SAHU,INR,"1,408,428.94",Finance,10 nos. of bidder participated and document downloaded successfully,Sukanta Chandra Beura,10-Nov-2025 01:25 PM,finance_558165.pdf,BOQ Comparative Chart,AOC
,,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3178622,GOPAL CHANDRA SAHU,04-Nov-2025 10:48 AM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3183799,JAGANNATH SAHU,05-Nov-2025 12:53 PM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3185041,MANTU BEHERA,05-Nov-2025 05:02 PM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3184429,Mithun Kumar Sethy,05-Nov-2025 02:23 PM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3180651,PANDABA PRADHAN,06-Nov-2025 11:34 PM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3192662,PRAFULLA KUMAR SAHU,07-Nov-2025 11:48 AM,Accepted-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3183096,Rohita Kumar Bisoyi,05-Nov-2025 09:55 AM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3190360,Santosh Kumar Panigrahy,06-Nov-2025 05:56 PM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3192845,Surendra Muni,07-Nov-2025 12:14 PM,Rejected-AOC,As per Transparent Lottery System,05-Jan-2026 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
