Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",1.0,ICICI BANK,1.0,2nd Corrigendum,Date,,EIC-CIVIL,CE-ROADS-II-26/2024-25,2025_EICCL_112201_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement such as widening and strengthening of Baripada-Chitrada -Amarda-Railway Station road (SH-61) from 0/360 km to 5/360 km in the district of Mayurbhanj under State Plan,Improvement such as widening and strengthening of Baripada- Chitrada-Amarda-Railway Station road (SH-61) from 0/360 km to 5/360 km in the district of Mayurbhanj under State Plan,Please refer Tender documents. ,NA ,"44,49,64,356",Civil Works - Roads,NA ,Tender,90.0,420.0,Mayurbhanj,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,"44,50,000",Yes,fixed,,Nil,Nil,04-Apr-2025 06:30 PM,01-May-2025 11:30 AM,04-Apr-2025 06:30 PM,30-Apr-2025 05:30 PM,NA ,NA ,04-Apr-2025 06:30 PM,30-Apr-2025 05:30 PM,04-Oct-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar.",AOC,Technical,Opening,Pradipta Kumar Nayak,01-May-2025 11:57 AM,,EIC-CIVIL,2025_EICCL_112201_2,CE-ROADS-II-26/2024-25,Improvement such as widening and strengthening of Baripada-Chitrada -Amarda-Railway Station road (SH-61) from 0/360 km to 5/360 km in the district of Mayurbhanj under State Plan,CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,07-Jan-2026 04:03 PM,finsummary_535371.pdf (315.07 KB),1.0,2898323.0,BALBHADRA DEVELOPERS PRIVATE LIMITED,INR,"378,264,199",07-Jan-2026,"INR 378,264,199",420.0,Pradipta Kumar Nayak,07-Jan-2026 04:08 PM,BCAAgreement.pdf (315.00 KB),1382P1 of 2025-26,1,2898323,BALBHADRA DEVELOPERS PRIVATE LIMITED,28-Apr-2025 06:18 PM,Accepted-AOC,Selected as L1 bidder,07-Jan-2026 04:11 PM,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,24-Sep-2025 02:01 PM,04-Oct-2025 11:00 AM,techsummary_535371.pdf (444.20 KB),Finance,Finance opening,Bijaya Laxmi Panda,04-Oct-2025 11:38 AM,,BOQ Comparative Chart,AOC
,,.pdf,Machineries and work experience,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2887033,B DAS AND ASSOCIATES PRIVATE LIMITED,30-Apr-2025 04:38 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2887159,Bhagabati build and constructions Pvt Ltd,30-Apr-2025 11:27 AM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2887483,IRON TRAINGLE LIMITED,30-Apr-2025 02:33 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2878281,MACKINTOSH BURN LIMITED,30-Apr-2025 02:49 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2886949,M/S BIG BUILD INFRASTRUCTURE & CO,22-Apr-2025 08:16 AM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2901886,M/S KBM CONSTRUCTION,30-Apr-2025 01:33 PM,Rejected-Technical,Disqualified,24-Sep-2025 02:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2890151,M/S SANTOSH KUMAR KHANDELWAL,30-Apr-2025 03:07 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2888186,PRABHUPADA CONSTRUCTIONS PVT LTD,30-Apr-2025 04:13 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2888638,RAJLAXMI CONSTRUCTIONS LIMITED,30-Apr-2025 02:06 PM,Rejected-AOC,L2 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2890159,Rakesh Agarwalla,29-Apr-2025 04:13 PM,Rejected-Technical,Disqualified,24-Sep-2025 02:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2901697,RKD CONSTRUCTION PVT LTD,30-Apr-2025 04:40 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2878536,SATENDRA PRASAD,21-Apr-2025 09:22 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2887743,SBB CONSTRUCTIONS PVT LTD,21-Apr-2025 01:33 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2901595,Sri Sanjay Kumar Agrawalla,30-Apr-2025 01:48 PM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2887645,Superior Construction Private Limited,18-Apr-2025 11:13 AM,Rejected-AOC,L1 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2884555,TARINI CONDEV PRIVATE LIMITED,16-Apr-2025 12:37 PM,Rejected-AOC,L2 bidder,07-Jan-2026 04:11 PM,,,,,,,,,,,,,,AOC
