S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3288516.0,JAGANNATH PANIGRAHI,INR,"847,457.51",Municipal Bodies||Odagaon NAC,2025_ORULB_122178_1,NAC-ODG-05/2025-26,Construction of CC Road From Krushna Nayak House To Golekha Pradhan House in Ward No-09 of NAC Odagaon,Technical,Tender opened by Tender Committee.,Nihar Ranjan Behera,09-Dec-2025 01:27 PM,,Administrator,Internal,E.O. and Team,Nihar Ranjan Behera,22-Jan-2026 12:05 PM,finsummary_567875.pdf (1456.27 KB),Administrator,Internal,E.O. and Team,Nihar Ranjan Behera,12-Dec-2025 11:50 AM,12-Dec-2025 11:55 AM,techsummary_567875.pdf (951.53 KB),Finance,Tender Opened by Tender Committee,Nihar Ranjan Behera,12-Dec-2025 12:42 PM,,BOQ Comparative Chart,1,3289744,AMRIT PRIYADARSHAN PANDA,08-Dec-2025 04:06 PM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,22-Jan-2026,"INR 847,457.51",45.0,Nihar Ranjan Behera,22-Jan-2026 12:12 PM,35.pdf (307.00 KB),AOC,"4,000",0.0,Nil,Nil,No,01-Dec-2025 11:00 AM,09-Dec-2025 11:00 AM,01-Dec-2025 11:00 AM,08-Dec-2025 05:00 PM,01-Dec-2025 11:00 AM ,08-Dec-2025 05:00 PM ,01-Dec-2025 11:00 AM,08-Dec-2025 05:00 PM,12-Dec-2025 11:55 AM,Construction of CC Road From Krushna Nayak House To Golekha Pradhan House in Ward No-09 of NAC Odagaon,Construction of CC Road From Krushna Nayak House To Golekha Pradhan House in Ward No-09 of NAC Odagaon,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,45.0,NAC ODAGAON,752081.0,NA ,NA ,NA ,NAC ODAGAON,No ,No,1.0,Fee/PreQual/Technical,.pdf,"License, Aadhar, PAN etc.",EXECUTIVE OFFICER,"NAC Office, Odagaon, NAyagarh, Pin-752081",1.0,ICICI BANK,Municipal Bodies||Odagaon NAC,NAC-ODG-05/2025-26,2025_ORULB_122178_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"8,500",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3288624,DILLIP KUMAR PADHI,08-Dec-2025 01:25 PM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3288516,JAGANNATH PANIGRAHI,08-Dec-2025 12:56 PM,Accepted-AOC,As per transparent Lottery Process,22-Jan-2026 12:12 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3289905,K SATYAJIT SENAPATI,08-Dec-2025 04:29 PM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3287820,MAMATA PATRA,08-Dec-2025 10:24 AM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3288918,PANU SETHI,08-Dec-2025 03:41 PM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3289413,PRAVATI SAHOO,08-Dec-2025 03:38 PM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3286415,PRITAM PATRA,07-Dec-2025 05:28 PM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3288014,PRIYARANJAN BHATTA,08-Dec-2025 11:21 AM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3288705,SAROJINI BEHERA,08-Dec-2025 01:52 PM,Rejected-Finance,As per Transparent Lottery Process,22-Jan-2026 12:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3287839,SUDIPTA KUMAR MOHAPATRA,08-Dec-2025 10:44 AM,Rejected-AOC,As per transparent Lottery Process,22-Jan-2026 12:12 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
