S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
1.0,3243246.0,SHRIKANTA KUMAR PATRA,INR,"423,712",Finance,11 bidders bid the tender,Tusar Kanti Behera,05-Dec-2025 08:01 PM,,BOQ Comparative Chart,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,04-Jan-2026 08:21 PM,finsummary_564447.pdf (219.92 KB),CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2025_CERWI_121294_1,11/EE/RW/AND/2025-26,Repair and renovation of C Type PS Building at Barapada for the year 2025-26,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,25-Dec-2025 02:39 PM,techsummary_564447.pdf (219.93 KB),05-Jan-2026,"INR 498,426",30.0,Tusar Kanti Behera,05-Jan-2026 12:40 PM,AoCBarapada.pdf (190.00 KB),1,3235415,JAGABANDHU JENA,18-Nov-2025 02:37 PM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,"2,000",0.0,Nil,Nil,No,Repair and renovation of C Type PS Building at Barapada for the year 2025-26,Repair and renovation of C Type PS Building at Barapada for the year 2025-26,Please refer tender documents ,NA ,"4,98,426",Civil Works - Buildings,NA ,Tender,90.0,30.0,Salapada,758020.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, ANANDPUR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, RC, GSTIN, PAN, Affidavitsall other documents required As per DTCN",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,11/EE/RW/AND/2025-26,2025_CERWI_121294_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,984",Yes,fixed,,Nil,Nil,Divisional Officer,"RURAL WORKS DIVISION, ANANDPUR",15-Nov-2025 10:30 AM,24-Nov-2025 11:30 AM,15-Nov-2025 10:30 AM,21-Nov-2025 05:00 PM,15-Nov-2025 10:30 AM ,20-Nov-2025 05:00 PM ,15-Nov-2025 10:30 AM,21-Nov-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3236674,LIMA MANGAL,18-Nov-2025 10:22 PM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3242544,MINATILATA PAHI,20-Nov-2025 06:57 PM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3243094,RAJASHREE CHAKRA,20-Nov-2025 10:18 PM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3244122,RAJENDRA ROUT,21-Nov-2025 01:31 PM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3244385,Rajesh kumar sethy,21-Nov-2025 02:36 PM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3237089,SANJAYA KUMAR JENA,19-Nov-2025 09:45 AM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3236543,SANJIP KUMAR SINGH,18-Nov-2025 09:29 PM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3243246,SHRIKANTA KUMAR PATRA,21-Nov-2025 05:49 AM,Accepted-AOC,Won the bid in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3234821,SRIKANTA BHUYAN,18-Nov-2025 12:20 PM,Rejected-AOC,Not win in lottery process,05-Jan-2026 12:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
