S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage
1.0,3128297.0,AMRIT KUMAR SINGH,INR,"1,466,023",Finance,Subject to verification of Documents,PRANAYA RANJAN BEHERA,19-Jan-2026 05:05 PM,,BOQ Comparative Chart,"Collector and District Magistrate, Mayurbhanj",Internal,PA ITDA BARIPADA,PRANAYA RANJAN BEHERA,19-Jan-2026 05:21 PM,finsummary_554215.pdf (750.64 KB),ST and SC Development Deptt||ITDA Baripada,2025_STSCD_118691_9,ITDABPD-02/2025-26,Construction of Staff Quarters at Asanjoda High School under Kuliana Block,"Collector and District Magistrate, Mayurbhanj",Internal,PA ITDA and OTHERS,PRANAYA RANJAN BEHERA,19-Jan-2026 05:09 PM,techsummary_554215.pdf (4076.34 KB),1,3131102,ABHISEK PAL,16-Oct-2025 02:23 PM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,19-Jan-2026,"INR 1,466,023",180.0,PRANAYA RANJAN BEHERA,19-Jan-2026 05:31 PM,9.pdf (751.00 KB),AOC,Construction of Staff Quarters at Asanjoda High School under Kuliana Block,Construction of Staff Quarters at Asanjoda High School under Kuliana Block,D and C ,NA ,"17,24,531",Civil Works - Buildings,NA ,Tender,90.0,180.0,BARIPADA,757002.0,NA ,NA ,NA ,"ITDA, BARIPADA",No ,No,26-Sep-2025 11:30 AM,23-Oct-2025 11:00 AM,26-Sep-2025 11:30 AM,22-Oct-2025 05:30 PM,NA ,NA ,26-Sep-2025 11:30 AM,22-Oct-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,ST and SC Development Deptt||ITDA Baripada,ITDABPD-02/2025-26,2025_STSCD_118691_9,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"17,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,PA ITDA BARIPADA,MURGABAADI,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3128297,AMRIT KUMAR SINGH,14-Oct-2025 07:55 PM,Accepted-AOC,Awarded through transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3142016,ANKITA TRIPATHY,22-Oct-2025 11:42 AM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3123696,ANKIT KHANDELWAL,19-Oct-2025 08:21 PM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3137454,ANUJ DAS,20-Oct-2025 11:46 AM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3130103,HEMALATA MOHANTA,17-Oct-2025 05:15 PM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3140663,KAMALARANI DAS ADHIKARI,21-Oct-2025 06:32 PM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3125446,MADHAB CHANDRA PALBABU,21-Oct-2025 06:59 PM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3141767,PRADEEP KUMAR MAHANTY,22-Oct-2025 11:45 AM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3138021,PRAMOD KUMAR BHUJABAL,20-Oct-2025 01:45 PM,Rejected-AOC,Not Qualified in transparent lottery system,19-Jan-2026 05:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
