Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
20-Oct-2025 05:00 PM,31-Oct-2025 11:00 AM,20-Oct-2025 05:00 PM,30-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM ,29-Oct-2025 05:00 PM ,20-Oct-2025 05:00 PM,30-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD PAN Affidavit,correctness and No relation certificate",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-07/2025-26,2025_CERWI_119571_51,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Gotara to Kaluria Road for the year 2025-26,S/R to Gotara to Kaluria Road for the year 2025-26,Refer tender document ,NA ,"6,72,974",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack","6,730",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,Superintending Engineer,Internal,DAO and A.E (Estimators),Sudhakar Naik,09-Jan-2026 01:05 PM,techsummary_557215.pdf (1972.83 KB),Superintending Engineer,Internal,DAO and AE (Estimators),Sudhakar Naik,09-Jan-2026 02:17 PM,finsummary_557215.pdf (1972.83 KB),Finance,All bidder are accepted,Debipriya Mohanty,10-Nov-2025 11:22 PM,,BOQ Comparative Chart,1.0,3146264.0,DILLIP KUMAR DAS,INR,"572,095",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119571_51,RWD CTC-07/2025-26,S/R to Gotara to Kaluria Road for the year 2025-26,1,3166767,"BISWA BIJOYEE MOHAPATRA,PROP.-RIDDHI ENTERPRISES",29-Oct-2025 07:40 PM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,09-Jan-2026,"INR 572,095",30.0,Sudhakar Naik,09-Jan-2026 02:20 PM,11241.pdf (1973.00 KB),Work awarded to Sri Dillip Kumar Das vide Divisional Agreement No.60 P1 of 2025-26,AOC
,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3166200,CH. OM PRAKASH DAS,29-Oct-2025 03:35 PM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3146264,DILLIP KUMAR DAS,24-Oct-2025 04:53 PM,Accepted-AOC,Work awarded to Sri Dillip Kumar Das vide Divisional Agreement No.60 P1 of 2025-26,09-Jan-2026 02:20 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3161981,LIPU KUMAR MALL,28-Oct-2025 10:45 PM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3164630,LISA MAJHI,28-Oct-2025 10:42 PM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3165668,MAHESWAR BEHURA,29-Oct-2025 04:54 PM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3167034,NIBASH CHANDRA BEHERA (S.C),30-Oct-2025 01:03 PM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3163757,PRAKASH SETHY,28-Oct-2025 04:27 PM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3166732,PRASANTA KUMAR BARIK,30-Oct-2025 09:28 AM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3167381,PRATAP KUMAR PRADHAN,30-Oct-2025 01:09 PM,Rejected-Finance,Other than L1,09-Jan-2026 02:17 PM,,,,,,,,AOC
