S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Instrument Type,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3316893.0,PRELUDE NOVEL VENTURES PRIVATE LIMITED,INR,"35,164,000",Director IMAGE,Mixed,List attached,Babuli Charan Sethy,09-Jan-2026 03:31 PM,finsummary_569209.pdf (4016.69 KB),Technical,11 nos bidder participated,Babuli Charan Sethy,23-Dec-2025 12:05 PM,,Directorate of Agriculture and Food Production||Joint Director of Agriculture Information Bhubaneswar,2025_AGRIL_122537_1,RFP No. 5321,Selection of Event Management Agency for KRUSHI ODISHA-2026,Finance,10 no.s of financial bids opened,Babuli Charan Sethy,09-Jan-2026 03:17 PM,,JDA,Internal,,Babuli Charan Sethy,27-Dec-2025 05:05 PM,30-Dec-2025 04:30 PM,techsummary_569209.pdf (408.36 KB),09-Jan-2026,"INR 35,164,000",30.0,Babuli Charan Sethy,09-Jan-2026 03:53 PM,workorder.pdf (479.00 KB),1,3319653,Axis Communications,22-Dec-2025 02:37 PM,Rejected-Finance,Combined score 62.07,09-Jan-2026 03:31 PM,AOC,"Director, IMAGE, Bhubaneswar","Director, IMAGE, Bhubaneswar",1.0,DD - Demand Draft,"10,000",0.0,"Director, IMAGE, Bhubaneswar",BHUBANESWAR,No,Directorate of Agriculture and Food Production||Joint Director of Agriculture Information Bhubaneswar,RFP No. 5321,2025_AGRIL_122537_1,Yes,Open Tender,EOI,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,OTHER DOCUMENTS AS PER DTCN",Selection of Event Management Agency for KRUSHI ODISHA-2026,EVENT WORKS,Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,180.0,NA ,BHUBANESWAR,751001.0,"1st Floor, Board Room, Krushi Bhavan, Bhubaneswar ","1st Floor, Board Room, Krushi Bhavan, Bhubaneswar ",09-Dec-2025 04:00 PM ,"Ground Floor, Board Room, Krushi Bhavan, Bhubanesw",No ,No,"15,00,000",Yes,fixed,,"Director, IMAGE, Bhubaneswar",BHUBANESWAR,03-Dec-2025 06:55 PM,23-Dec-2025 11:30 AM,03-Dec-2025 06:55 PM,22-Dec-2025 04:30 PM,NA ,NA ,03-Dec-2025 06:55 PM,22-Dec-2025 04:30 PM,30-Dec-2025 04:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3320628,CELEBRATIONS LIVE,21-Dec-2025 04:39 PM,Rejected-Finance,Combined score 95.30,09-Jan-2026 03:31 PM,AOC,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,FINANCIAL PROPOSAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3322666,COLOR PLUS,22-Dec-2025 02:46 PM,Rejected-Finance,Combined score 92.82,09-Jan-2026 03:31 PM,AOC,,,3.0,TD- Term Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3322783,GKS PROJECTS AND EVENTS,22-Dec-2025 03:36 PM,Rejected-Finance,Combined score 82.57,09-Jan-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3318991,Janus Koncepts,22-Dec-2025 03:23 PM,Rejected-Finance,Combined score 86.90,09-Jan-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3322923,Max Publicity and Communication Pvt Ltd,22-Dec-2025 03:36 PM,Rejected-Technical,DOC NOT OK,27-Dec-2025 05:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3316893,PRELUDE NOVEL VENTURES PRIVATE LIMITED,22-Dec-2025 11:30 AM,Accepted-AOC,Work Awarded,09-Jan-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3319865,SANKET COMMUNICATIONS PRIVATE LIMITED,21-Dec-2025 06:55 PM,Rejected-Finance,Mismatch in mathematical calculation in the Financial sheet and rate quoted,09-Jan-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3313951,Seventhavenue Eventz Pvt Ltd,22-Dec-2025 01:20 PM,Rejected-Finance,Combined score 84.37,09-Jan-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3313830,"Sharad Advertising Pvt. Ltd.,",22-Dec-2025 02:46 PM,Rejected-Finance,Combined score 88.75,09-Jan-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3322947,XPOSE ADVERTISING,22-Dec-2025 03:39 PM,Rejected-Finance,Combined score 92.35,09-Jan-2026 03:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
