S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3004102.0,KRUSHNA CHANDRA PRUSTY,INR,"3,653,337.74",Finance,bids to be opened,Sujata Hembram,25-Jul-2025 04:28 PM,finance_545857.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Prasanna Kumar Pattanaik,09-Jan-2026 06:32 PM,finsummary_545857.pdf (476.52 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_115466_1,EERWRGD Online 01 2025-26,Construction of R.W.Sub-Division office with Compound wall at Kolnara for the year 2024-25,Executive Engineer,Internal,,Prasanna Kumar Pattanaik,09-Jan-2026 06:25 PM,techsummary_545857.pdf (476.52 KB),09-Jan-2026,"INR 3,653,337.74",270.0,Prasanna Kumar Pattanaik,09-Jan-2026 06:38 PM,WORKORDERCOMPOUNDWALLKOLNARA.pdf (2371.00 KB),1,2998328,ARUN KUMAR NAYAK,16-Jul-2025 05:51 PM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,11-Jul-2025 06:00 PM,21-Jul-2025 05:30 PM,11-Jul-2025 06:00 PM,19-Jul-2025 05:00 PM,NA ,NA ,11-Jul-2025 06:00 PM,19-Jul-2025 05:00 PM,Construction of R.W.Sub-Division office with Compound wall at Kolnara for the year 2024-25,Construction of R.W.Sub-Division office with Compound wall at Kolnara for the year 2024-25,NA ,NA ,"42,97,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,"6,000",0.0,Nil,Nil,No,"42,970",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 01 2025-26,2025_CERWI_115466_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, Rural Works Division, Rayagada","O/O the Executive Engineer,RW Circle,Rayagada near Hathipathar road,Raniguda Farm",1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit GSTIN PAN RC and other papers as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3004107,BIJAYALAXMI SITHA,19-Jul-2025 02:26 PM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3003358,BRAJAMOHAN HIKAKA,18-Jul-2025 05:25 PM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3001953,G DEEPAK KUMAR,17-Jul-2025 11:55 AM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3004102,KRUSHNA CHANDRA PRUSTY,19-Jul-2025 03:51 PM,Accepted-AOC,AS PER LOTTER WINER,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3000827,MAMATA BAG,16-Jul-2025 01:07 PM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3003981,SANTOSH KUMAR LABALA,19-Jul-2025 03:10 PM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3004139,SIBASIS SAHU,19-Jul-2025 02:52 PM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3002058,SOHANI PANDA,17-Jul-2025 12:48 PM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3003846,SWAGATIKA BHUYAN,19-Jul-2025 11:40 AM,Rejected-AOC,1st LOWEST,09-Jan-2026 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
