Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Seven Bidders found,Anup Kumar Behera,09-Oct-2025 10:58 AM,finance_548181.pdf,BOQ Comparative Chart,1.0,Revoke of Tender,Revoke of Tender,08-Oct-2025 05:30 PM,Revoke.PDF ,670.91,Technical Opening,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Mamatamayee Biswal,08-Oct-2025 06:56 PM,09-Oct-2025 10:00 AM,techsummary_548181.pdf (2234.81 KB),1,3035354,ABHAYA KUMAR SAHOO,15-Aug-2025 09:31 PM,Rejected-AOC,0,05-Jan-2026 07:01 PM,05-Jan-2026,"INR 37,130,840",270.0,Anup Kumar Behera,05-Jan-2026 07:01 PM,Latabainsia.pdf (437.00 KB),REFUND OF E.M.D,1.0,3038831.0,Sasikanta Jena,INR,"37,130,840",Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,05-Jan-2026 06:57 PM,finsummary_548181.pdf (436.74 KB),CE RW I||RWCIRCLE-ANGUL,2025_CERWI_116394_1,Road Online-AGL-08/2025-26,Construction of Latabainsia to Dihibainsia Road in the District of Dhenkanal under MMSY-TRIP for the year 2024-25,Technical,Tenbbb,Mamatamayee Biswal,08-Oct-2025 06:33 PM,technical_548181.pdf,AOC,Construction of Latabainsia to Dihibainsia Road in the District of Dhenkanal under MMSY-TRIP for the year 2024-25,Construction of Latabainsia to Dihibainsia Road in the District of Dhenkanal under MMSY-TRIP for the year 2024-25,NA ,NA ,"4,36,78,203",Civil Works - Roads,NA ,Tender,90.0,270.0,Dhenkanal,759013.0,NA ,NA ,NA ,"Office of the Chief Construction Engineer,RWC,Angu",No ,No,"Chief Construction Engineer,RWC,Angul",At-Hakimpada Po-Hakimpada District- Angul,CE RW I||RWCIRCLE-ANGUL,Road Online-AGL-08/2025-26,2025_CERWI_116394_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,04-Aug-2025 10:00 AM,19-Aug-2025 11:00 AM,04-Aug-2025 10:00 AM,18-Aug-2025 05:00 PM,04-Aug-2025 10:00 AM ,16-Aug-2025 01:00 PM ,04-Aug-2025 10:00 AM,18-Aug-2025 05:00 PM,09-Oct-2025 10:00 AM,"10,000",0.0,Nil,Nil,No,"4,36,782",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD One percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness",AOC
,,,,,,,,,,,,,,,,,,,,2,3040335,Abinash Sahoo,18-Aug-2025 04:23 PM,Rejected-AOC,0,05-Jan-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Labour licence,Similar nature of work,Annual Turn Over,Work in hand,No relation,No Litigation certif",AOC
,,,,,,,,,,,,,,,,,,,,3,3040231,BISWARANJAN SATAPATHY,18-Aug-2025 03:23 PM,Rejected-Technical,Due to inadequate machinery as per clause 2.2.3 of ITB of DTCN,08-Oct-2025 06:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,4,3034213,DILLIP KUMAR SAHOO,15-Aug-2025 09:58 PM,Rejected-AOC,0,05-Jan-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,AOC
,,,,,,,,,,,,,,,,,,,,5,3035770,GOPALA CONSTRUCTION,16-Aug-2025 01:06 AM,Rejected-AOC,0,05-Jan-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3034359,KIRAN LAXMI INFRA PROJECTS,15-Aug-2025 10:00 PM,Rejected-AOC,0,05-Jan-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3040356,M/S BISNU CHARAN BEHERA,18-Aug-2025 04:54 PM,Rejected-Technical,Due to non submission of affidavit regarding No relation certificate and No litigation certificate as per ITB Clause 1.2.8 and 1.2.6 of ITB of DTCN.Due to inadequate similar nature of work experience vide clause no.2.2.1 of ITB,08-Oct-2025 06:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3037866,Pradeep Kishor Swain,16-Aug-2025 11:21 AM,Rejected-AOC,0,05-Jan-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3038831,Sasikanta Jena,16-Aug-2025 08:44 PM,Accepted-AOC,Winner of lottery among the 1st lowest bidders,05-Jan-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3039958,Tushar Kant Baral,18-Aug-2025 02:32 PM,Rejected-Technical,Due to non submission of work in hand certificate as per Clause 2.2.2 of ITB of DTCN,08-Oct-2025 06:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
