S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3280362.0,HRUDANANDA BEHERA,INR,"5,341,674",Technical,Document downloaded,Priyadarshini Behera,09-Dec-2025 11:53 AM,technical_568624.pdf,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_122364_1,09 SERW BLS of 2025-26,Construction of staircase with record room at second floor and compound wall with main gate at RW Circle Balasore,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,15-Jan-2026 02:06 PM,finsummary_568624.pdf (1186.88 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,10-Dec-2025 05:29 PM,11-Dec-2025 10:00 AM,techsummary_568624.pdf (489.27 KB),Finance,Document downloaded,Priyadarshini Behera,11-Dec-2025 12:05 PM,finance_568624.pdf,BOQ Comparative Chart,15-Jan-2026,"INR 5,341,674",90.0,Soubhagya Kumar Das,15-Jan-2026 02:09 PM,8SLStair.pdf (1187.00 KB),1,3277356,GOBINDA JENA,04-Dec-2025 11:22 AM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,"SE RW Division, Balasore","O/o the SE RW Division, Balasore","62,836",Yes,percentage,1.0%,Nil,Nil,01-Dec-2025 03:00 PM,09-Dec-2025 11:00 AM,01-Dec-2025 03:00 PM,08-Dec-2025 05:00 PM,01-Dec-2025 03:00 PM ,08-Dec-2025 01:00 PM ,01-Dec-2025 03:00 PM,08-Dec-2025 05:00 PM,11-Dec-2025 10:00 AM,Construction of staircase with record room at second floor and compound wall with main gate at RW Circle Balasore,Construction of staircase with record room at second floor and compound wall with main gate at RW Circle Balasore,Please refer tender documents ,NA ,"62,83,584",Civil Works - Buildings,NA ,Tender,90.0,90.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,1.0,Fee/PreQual/Technical,.pdf,"P.Cost, EMD, RC, Pan, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,09 SERW BLS of 2025-26,2025_CERWI_122364_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3280463,HIMANSHU DAS,07-Dec-2025 12:26 AM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3289851,HIMANSHU SEKHAR GIRI,08-Dec-2025 04:18 PM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3280362,HRUDANANDA BEHERA,07-Dec-2025 12:06 AM,Accepted-AOC,Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3283026,JASHODA NANDA MAHARANA,05-Dec-2025 07:33 PM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3290019,MAHABIR PRASAD GANTAYAT,08-Dec-2025 04:52 PM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3282810,Satyam Maharana,05-Dec-2025 06:19 PM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3280403,SATYANARAYAN BEJ,06-Dec-2025 11:13 PM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3275532,SUJIT KUMAR PATRA,03-Dec-2025 04:46 PM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3280439,SURYAKANTA SAHU,06-Dec-2025 11:41 PM,Rejected-AOC,Not Qualified,15-Jan-2026 02:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
