S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3286087.0,BALIA KUMAR PRADHAN,INR,"7,132,335.04",Technical,18 nos are bidder participated in this tender,Simachala Satapathy,13-Dec-2025 01:11 PM,,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_122064_5,MIDGJP-05/2025-26,Construction of Canal lining in Right main canal of Kureisingi MIP D/W in Rayagada Block of Gajapati District under CAPEX Scheme-2025-26,SIMACHALA SATAPATHY,Internal,,Simachala Satapathy,09-Jan-2026 03:30 PM,finsummary_567649.pdf (43.06 KB),simachala satapathy,Internal,,Simachala Satapathy,13-Dec-2025 01:23 PM,15-Dec-2025 11:00 AM,techsummary_567649.pdf (1311.73 KB),Finance,18 nos are bidder participated in this tender,Simachala Satapathy,09-Jan-2026 03:25 PM,,BOQ Comparative Chart,09-Jan-2026,"INR 8,389,995.34",90.0,Simachala Satapathy,09-Jan-2026 03:35 PM,AOC05.PDF (185.00 KB),1,3285425,AKASH CHANDRA DASH,07-Dec-2025 11:30 AM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,28-Nov-2025 12:00 PM,08-Dec-2025 11:00 AM,28-Nov-2025 12:00 PM,08-Dec-2025 09:00 AM,28-Nov-2025 12:00 PM ,08-Dec-2025 09:00 AM ,28-Nov-2025 12:00 PM,08-Dec-2025 09:00 AM,15-Dec-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost EMD (Online) RC, PAN,GSTIN, affidavit other documents and forms as per DTCN",SUPERINTENDING ENGINEER,"O/o Superintending Engineer,M.I.Division,Gajapati",Construction of Canal lining in Right main canal of Kureisingi MIP D/W in Rayagada Block of Gajapati District under CAPEX Scheme-2025-26,Construction of Canal lining in Right main canal of Kureisingi MIP D/W in Rayagada Block of Gajapati District under CAPEX Scheme-2025-26,Please refer Tender documents. ,NA ,"83,89,995",Civil Works - Others,NA ,Tender,90.0,90.0,Rayagada,761213.0,NA ,NA ,NA ,"O/o Superintending Engineer,M.I.Division,Gajapati",No ,No,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",MIDGJP-05/2025-26,2025_CEMIB_122064_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"84,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3283896,ANUBHABA SAHU,06-Dec-2025 12:29 PM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3286087,BALIA KUMAR PRADHAN,07-Dec-2025 04:34 PM,Accepted-AOC,Selected through lottery system as 1st lowest successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3286041,BASANTA SAHU,07-Dec-2025 02:55 PM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3282767,CHIRANJEEBI SAHU,05-Dec-2025 05:51 PM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3283685,CHITTA RANJAN PARIDA,06-Dec-2025 11:20 AM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3286403,DASARANKI CHANDU,07-Dec-2025 05:36 PM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3276503,D.HARISH KUMAR,04-Dec-2025 09:18 PM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3284683,GANESH SWAIN,06-Dec-2025 04:54 PM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3284019,KESHAB CHANDRA NAYAK,06-Dec-2025 01:05 PM,Rejected-AOC,Un successful,09-Jan-2026 03:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
