Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
O/o the SE RWD BBSR,O/o the SE RWD BBSR,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 23/2025-26,2025_CERWI_121205_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,15-Nov-2025 02:00 PM,21-Nov-2025 11:00 AM,15-Nov-2025 02:00 PM,20-Nov-2025 05:00 PM,NA ,NA ,15-Nov-2025 02:00 PM,20-Nov-2025 05:00 PM,"4,240",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Paper Cost EMD GSTIN PAN Registration Certificate,R. I. Office Golabai,R. I. Office Golabai,Please refer tender documents ,NA ,"4,24,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,SE R.W. Div. BBSR,751013.0,NA ,NA ,NA ,SE RWD BBSR,No ,No,"2,000",0.0,Nil,Nil,No,AOC,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,13-Jan-2026 03:12 PM,techsummary_564530.pdf (601.58 KB),SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,13-Jan-2026 03:24 PM,finsummary_564530.pdf (601.58 KB),Finance,17 NOS OF BIDDER ARE PARTICIPATED,Nirmal Chandra Jena,25-Nov-2025 01:05 PM,,BOQ Comparative Chart,13-Jan-2026,"INR 420,838.24",60.0,Nirmal Chandra Jena,13-Jan-2026 03:31 PM,RIGolabai.pdf (602.00 KB),AoC,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_121205_17,Tender Online Divn. BBSR - 23/2025-26,R. I. Office Golabai,1.0,3240937.0,JAGANNATH BEHERA,INR,"420,838.24",1,3239823,AJAY KUMAR BEHERA,19-Nov-2025 10:34 PM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Affidavit of Correctness Certificate, undertaking for obtaining labour license",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3239191,ANR CONSTRUCTION,19-Nov-2025 06:33 PM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No relationship certificate and required documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3240643,BHARAT CHANDRA DAS,20-Nov-2025 11:19 AM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3239459,BIBHU PRASAD SAHOO,19-Nov-2025 08:14 PM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3238672,BIBHUTIBHUSAN PALATASINGH,19-Nov-2025 04:10 PM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3241532,BICHITRA KUMAR SUBUDHI,20-Nov-2025 03:20 PM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3239706,DIPTIRANJAN RAYASINGH,19-Nov-2025 09:43 PM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3240869,JAGAJIBAN CHHOTARAY,20-Nov-2025 12:24 PM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3240937,JAGANNATH BEHERA,20-Nov-2025 12:40 PM,Accepted-AOC,L1 Bidder,13-Jan-2026 03:31 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3241593,MONALISA SAHOO,20-Nov-2025 02:16 PM,Rejected-Finance,Quoted rate at CSR,13-Jan-2026 03:24 PM,AOC
