Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Downloaded,Sudhakar Naik,15-Jan-2026 11:28 AM,finance_556612.pdf,BOQ Comparative Chart,15-Jan-2026,"INR 428,207.45",30.0,Sudhakar Naik,15-Jan-2026 04:53 PM,wo.pdf (1275.00 KB),AOC,1.0,3165770.0,SURENDRA NATH SWAIN,INR,"428,207.45",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119571_16,RWD CTC-07/2025-26,S/R to Paga Bhatimunda PWD Road to Mukundapur for the year 2025-26,1,3151481,DIPTI PRAKASH MUDULI,30-Oct-2025 09:39 AM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,Superintendig Engineer,Internal,"DAO, AE Estimator",Sudhakar Naik,15-Jan-2026 12:22 PM,techsummary_556612.pdf (2017.58 KB),Superintendig Engineer,Internal,"DAO, AE Estimator",Sudhakar Naik,15-Jan-2026 04:48 PM,finsummary_556612.pdf (2017.58 KB),AOC,1.0,ICICI BANK,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-07/2025-26,2025_CERWI_119571_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Superintending Engineer, R.W. Division, Cuttack","At- REO Colony, P.O.-Nayabazar, District-Cuttack","5,037",Yes,percentage,1.0%,Nil,Nil,17-Oct-2025 12:00 PM,31-Oct-2025 11:00 AM,17-Oct-2025 12:00 PM,30-Oct-2025 05:00 PM,17-Oct-2025 12:00 PM ,29-Oct-2025 05:00 PM ,17-Oct-2025 12:00 PM,30-Oct-2025 05:00 PM,S/R to Paga Bhatimunda PWD Road to Mukundapur for the year 2025-26,S/R to Paga Bhatimunda PWD Road to Mukundapur for the year 2025-26,Refer tender document ,NA ,"5,03,714",Civil Works - Roads,NA ,Tender,90.0,30.0,"Superintending Engineer, R.W. Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD PAN Affidavit,correctness and No relation certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,2,3164477,LISA MAJHI,28-Oct-2025 10:53 PM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3140416,PRABHAT KUMAR BASTIA,21-Oct-2025 06:51 PM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3167322,PRATAP KUMAR PRADHAN,30-Oct-2025 01:18 PM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3167597,PRATIMA JENA,30-Oct-2025 01:14 PM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3164460,SAMARJEET SWAIN,29-Oct-2025 10:14 AM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3166553,SHIBANI BEHERA,29-Oct-2025 05:44 PM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3165066,SHRAMISTHA SWAIN,29-Oct-2025 08:37 AM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3147554,SISIRA KUMAR MALLICK,28-Oct-2025 07:58 PM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3168095,SOUBHAGYA RANJAN BEHERA,30-Oct-2025 04:30 PM,Rejected-Finance,Not selected in Lottery,15-Jan-2026 04:48 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
