Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Name,Address,Tender Stage
CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR CCE RW CIRCLE BALASORE AND DAO RW. DIVISION, Jaleswar",Saibalini Singh,12-Nov-2025 07:42 PM,15-Nov-2025 11:00 AM,techsummary_551381.pdf (2090.40 KB),1.0,Tender Revocation,Tender Revocation,12-Nov-2025 06:27 PM,4103.pdf ,2075.04,Technical Opening,Finance,6 Numbers bidder admitted,Durjyodhan Behera,17-Nov-2025 12:29 PM,,BOQ Comparative Chart,09-Jan-2026,"INR 45,913,793",270.0,Durjyodhan Behera,09-Jan-2026 07:42 PM,7Sankhamedi.pdf (603.00 KB),Work awarded to 1st lowest bidder through lottery system,1,3070531,Amresh Behera,15-Sep-2025 09:30 AM,Accepted-AOC,L1,09-Jan-2026 07:42 PM,1.0,3070531.0,Amresh Behera,INR,"45,913,793",Technical,7 Numbers bidder admitted,Saibalini Singh,12-Nov-2025 07:01 PM,,CE RW I||RWCIRCLE-BALASORE,2025_CERWI_117604_4,CCE-BLS-NCB-23 OF 2025-26,"Construction of Deula to Sankhamedi Via Mandarsahi, Suksanda, Panisanda and Kapasia Bandha road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25.","CCE RW CIRCLE, BALASORE",Internal,"PA TO CCE RW CIRCLE, BALASORE AND JE ESTIMATOR CCE RW CIRCLE, BALASORE AND DAO R.W. DIVSION, BALASORE",Saibalini Singh,11-Dec-2025 06:12 PM,finsummary_551381.pdf (47.36 KB),AOC,"5,40,100",Yes,percentage,1.0%,Nil,Nil,06-Sep-2025 11:00 AM,16-Sep-2025 11:00 AM,06-Sep-2025 11:00 AM,15-Sep-2025 05:00 PM,06-Sep-2025 11:00 AM ,12-Sep-2025 05:00 PM ,06-Sep-2025 11:00 AM,15-Sep-2025 05:00 PM,15-Nov-2025 11:00 AM,"Construction of Deula to Sankhamedi Via Mandarsahi, Suksanda, Panisanda and Kapasia Bandha road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25.","Construction of Deula to Sankhamedi Via Mandarsahi, Suksanda, Panisanda and Kapasia Bandha road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25.",Please refer to the DTCN ,NA ,"5,40,10,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Balasore,756001.0,NA ,NA ,NA ,"CCE R.W.CIRCLE,BALASORE",No ,No,1.0,Modification of 1st Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-23 OF 2025-26,2025_CERWI_117604_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"CCE R.W.CIRCLE,BALASORE","O/o The CCE R.W.CIRCLE,BALASORE",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3080633,JEETESH RANJAN BEHERA,15-Sep-2025 11:43 AM,Rejected-Technical,Non-Submission of EMD,12-Nov-2025 07:42 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT ,MACHINERIES,ETC",,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3072830,M/S BENGAL CONSTRUCTION AND CO,13-Sep-2025 04:52 PM,Rejected-Finance,L3,11-Dec-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3079930,MS TAJ CONSTRUCTION,14-Sep-2025 07:11 PM,Rejected-Finance,L1,11-Dec-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3079862,Ranjit Kumar Behera,15-Sep-2025 08:29 AM,Rejected-Finance,L3,11-Dec-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3081327,SANJAY KUMAR GIRI,15-Sep-2025 02:26 PM,Rejected-Finance,L2,11-Dec-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3080614,SANJEEB KUMAR NAYAK,15-Sep-2025 12:40 PM,Rejected-Finance,L3,11-Dec-2025 06:12 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
