Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
13-Oct-2025 11:00 AM,28-Oct-2025 11:00 AM,13-Oct-2025 11:00 AM,27-Oct-2025 05:00 PM,13-Oct-2025 11:00 AM ,23-Oct-2025 05:00 PM ,13-Oct-2025 11:00 AM,27-Oct-2025 05:00 PM,20-Nov-2025 11:00 AM,1.0,ICICI BANK,"67,212",Yes,percentage,1.0%,Nil,Nil,New Installation and Energisation including power supply work of DUBLABEDA-II and DUBLABEDA-III LIP under TIRING block in Mayurbhanj District,New Construction of Head works Distribution System and energization including Power supply work of DUBLABEDA-II and DUBLABEDA-III LIP under TIRING block in Mayurbhanj District,Please refer Tender documents ,NA ,"67,21,234",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,NA ,Karanjia,757037.0,NA ,NA ,NA ,Karanjia,No ,No,Executive Engineer,"At-Ankura,Po-Karanjia,Dist-Mayurbhanj","11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender paper Cost,EMD,GSTIN,PAN,Affidavit,Civil and HT License,Joint Venture Agreement",Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,BID ID NO.23 EELID (KJA/2025-26) DATE. 09.10.2025,2025_OLIC_119374_31,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Bid Opening Summary,BIKRAMADITYA PANIGRAHY,12-Nov-2025 01:45 PM,technical_555603.pdf,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Karanjia,2025_OLIC_119374_31,BID ID NO.23 EELID (KJA/2025-26) DATE. 09.10.2025,New Installation and Energisation including power supply work of DUBLABEDA-II and DUBLABEDA-III LIP under TIRING block in Mayurbhanj District,Bikramaditya,Internal,"Bikramaditya, Kamala, Abhimanyu, Bibhu Prakash, Abhijeet",BIKRAMADITYA PANIGRAHY,06-Dec-2025 05:14 PM,finsummary_555603.pdf (1786.85 KB),1.0,3158505.0,M/s Maa Subarnmukhi Engineering,INR,"5,713,721",1,3156738,ASIT KUMAR SAHANI,27-Oct-2025 08:05 AM,Rejected-Finance,Not Selected in Lottery,06-Dec-2025 05:14 PM,15-Dec-2025,"INR 5,713,721",120.0,BIKRAMADITYA PANIGRAHY,31-Jan-2026 05:47 PM,Dublabeda_IIAndDublabeda_III.pdf (633.00 KB),Award of Contract,Bikramaditya,Internal,"Bikramaditya, Kamala, Abhimanyu, Bibhu Prakash, Abhijeet",BIKRAMADITYA PANIGRAHY,18-Nov-2025 05:35 PM,20-Nov-2025 11:00 AM,techsummary_555603.pdf (2518.79 KB),Finance,Financial Bid Opening and Lottery Invitation,BIKRAMADITYA PANIGRAHY,01-Dec-2025 05:43 PM,finance_555603.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3146724,BARENDRA KRISHNA MATAGAJSINGH,27-Oct-2025 01:30 PM,Rejected-Finance,Not Selected in Lottery,06-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3153420,joyram beshra,26-Oct-2025 10:42 AM,Rejected-Finance,Not Selected in Lottery,06-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3158057,KAMALA KANTA BEHERA,27-Oct-2025 12:41 PM,Rejected-Finance,Not Selected in Lottery,06-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3159237,KAMALAKANTA DAS,27-Oct-2025 04:41 PM,Rejected-Finance,Not Selected in Lottery,06-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3158700,KARTIKA CHANDRA PUSTI,27-Oct-2025 02:28 PM,Rejected-Finance,Not Selected in Lottery,06-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3156408,M/S.BAISAKHI CONSTRUCTION PVT.LTD,27-Oct-2025 01:14 PM,Rejected-Technical,Ineligible Civil licence for this Pkg,18-Nov-2025 05:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3158505,M/s Maa Subarnmukhi Engineering,27-Oct-2025 01:30 PM,Accepted-AOC,Awarded,31-Jan-2026 05:47 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3147742,M/S. SHREE KRISHNA ENGINEERING,26-Oct-2025 11:30 AM,Rejected-Finance,Not Selected in Lottery,06-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3158548,M/S SHREELAXMI ENTERPRISERS,27-Oct-2025 12:45 PM,Rejected-Finance,Not Selected in Lottery,06-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
