EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,69,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Master Plan for Drainage Network of SISHU BHAWAN (Phase-V),Construction of Master Plan for Drainage Network of SISHU BHAWAN (Phase-V),Please refer Tender documents. ,NA ,"1,69,23,000",Civil Works - Others,NA ,Tender,90.0,240.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi",No ,No,"Executive Engineer, CD-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online",25-Jun-2025 01:00 PM,23-Jul-2025 11:00 AM,25-Jun-2025 01:00 PM,18-Jul-2025 05:00 PM,NA ,NA ,25-Jun-2025 01:00 PM,18-Jul-2025 05:00 PM,15-Oct-2025 02:30 PM,"11,800",0.0,Nil,Nil,No,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No5/2025-26,2025_ORULB_114510_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2999137,AHETESHAM LATIF,14-Jul-2025 03:19 PM,Accepted-AOC,Accepted,06-Jan-2026 07:32 PM,06-Jan-2026,"INR 14,386,216",240.0,Subas Chandra Sahoo,06-Jan-2026 07:31 PM,15411_5.pdf (253.00 KB),Work Order,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,15-Oct-2025 02:23 PM,15-Oct-2025 02:30 PM,techsummary_544297.pdf (439.56 KB),Finance,Twenty-one bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Subas Chandra Sahoo,15-Oct-2025 07:00 PM,finance_544297.pdf,BOQ Comparative Chart,Technical,Twenty bidder participated. The Original documents of bidders to be verified.,Subas Chandra Sahoo,26-Jul-2025 01:37 PM,technical_544297.pdf,Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_114510_5,MC(CMC)CTC_Div-I_No5/2025-26,Construction of Master Plan for Drainage Network of SISHU BHAWAN (Phase-V),Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,06-Jan-2026 07:27 PM,finsummary_544297.pdf (252.86 KB),1.0,2999137.0,AHETESHAM LATIF,INR,"14,386,215.59",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3001426,ASIS PARIDA,16-Jul-2025 07:43 PM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3000381,BASUDEV BEHERA,15-Jul-2025 09:20 PM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3002490,BIKRAM KESHARI MOHANTY,17-Jul-2025 04:22 PM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2998493,BISWAJIT BEHERA,13-Jul-2025 10:55 PM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3003058,DEBASIS NATH,18-Jul-2025 12:56 PM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2998017,DIPAK BEHERA,14-Jul-2025 10:57 AM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3000352,HAREKRUSHNA SETHI,16-Jul-2025 02:57 PM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2999987,LALITENDU PARIDA,18-Jul-2025 04:02 PM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2998655,Pabitra Mohanty,17-Jul-2025 08:25 PM,Rejected-AOC,Rejected,06-Jan-2026 07:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
