Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EE,Internal,EE and others,CHANDRAMA PING,18-Jan-2026 09:13 AM,techsummary_565777.pdf (3495.02 KB),18-Jan-2026,"INR 3,386,161.84",120.0,CHANDRAMA PING,18-Jan-2026 09:19 AM,AOC.pdf (3495.00 KB),Success on Lottery System,1,3260745,ARTATRANA MOHAPATRA,27-Nov-2025 04:23 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 09:16 AM,Finance,10 Nos. Bidders partiipated.,CHANDRAMA PING,25-Dec-2025 11:46 PM,finance_565777.pdf,BOQ Comparative Chart,1.0,3253874.0,Dukhanasana Sethi,INR,"2,878,576",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_121569_24,OLIC-SNP-03/2025-26,Installation and energisation of KHANDAHATA-IV L.I. Project under BIRAMAHARAJPUR Block in SUBARNAPUR District (RIDF-2025-26),EE,Internal,EE and others,CHANDRAMA PING,18-Jan-2026 09:16 AM,finsummary_565777.pdf (3495.02 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN","E.E., L.I. Division, Subarnapur","O/O. the E.E., L.I. Division, Subarnapur",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-03/2025-26,2025_OLIC_121569_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Nov-2025 11:00 AM,28-Nov-2025 11:00 AM,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,20-Nov-2025 11:00 AM ,26-Nov-2025 05:00 PM ,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,Installation and energisation of KHANDAHATA-IV L.I. Project under BIRAMAHARAJPUR Block in SUBARNAPUR District (RIDF-2025-26),Installation and energisation of KHANDAHATA-IV L.I. Project under BIRAMAHARAJPUR Block in SUBARNAPUR District (RIDF-2025-26),Please refer Tender documents. ,NA ,"33,86,162",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,120.0,Subarnapur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,"7,080",0.0,Nil,Nil,No,"33,862",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,2,3260184,Dinesh kumar karna,27-Nov-2025 02:16 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 09:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3253874,Dukhanasana Sethi,26-Nov-2025 06:58 PM,Accepted-AOC,Success on Lottery System,18-Jan-2026 09:19 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3259960,Duryodhan Mishra,27-Nov-2025 02:10 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 09:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3258477,KALYANI NANDA,27-Nov-2025 12:02 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 09:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3253931,M/S PRADHAN CONSTRUCTION PROP SASMITA PRADHAN,27-Nov-2025 12:45 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 09:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3255574,NILESH KUMAR JAIN,27-Nov-2025 12:27 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Non deposit of EMD in joint venture with other contractor.,25-Dec-2025 11:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3259034,PAWAN KUMAR AGRAWAL,27-Nov-2025 09:13 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Non-submission of affidavit and joint venture,25-Dec-2025 11:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3257971,SURENDRA KUMAR AGRAWAL,27-Nov-2025 03:23 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 09:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3253633,SURESH KUMAR PUROHIT,27-Nov-2025 03:52 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 09:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
