S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Tender Stage
1.0,3083498.0,OMM ROADWAYS,INR,34.35,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Keonjhar,2025_OSCSC_117394_1,2605/Date-25/08/2025,Appointment of Level II transport contractor for transportation of CMR from RRC to FPS point of Anandapur Block,Technical,The tender documents has been downloaded and submitted before DLTC for scrutiny,Pabitra Kumar Sahoo,24-Nov-2025 04:43 PM,,"Collector and District Magistrate , Keonjhar",External,"TRO, DLO, DSWO, ADM, CCSO-cum-DM",Pabitra Kumar Sahoo,09-Jan-2026 05:31 PM,finsummary_550564.pdf (1289.63 KB),"Collector and District Magistrate , Keonjhar",External,"ADM,DLO,DSWO,TRO,CCSOcumDM",Pabitra Kumar Sahoo,24-Nov-2025 04:46 PM,27-Nov-2025 11:00 AM,techsummary_550564.pdf (936.27 KB),Finance,The documents downloaded submitted before DLTC for scrutiny,Pabitra Kumar Sahoo,08-Jan-2026 05:42 PM,,BOQ Comparative Chart,16-Jan-2026,INR 34.35,580.0,Pabitra Kumar Sahoo,15-Jan-2026 06:31 PM,3847.pdf (745.00 KB),"The bidder accpeted BSoR 14.99, Hence selected and appointed as L II TC for Anandapur Block w.e.f. 16/12/2025.",1,3083678,JYOTIRMAYEE LOGISTICS PVT LTD,16-Sep-2025 02:55 PM,Rejected-Finance,Quoted rate BSoR 14.99 percentage. Disqualified through lottery,09-Jan-2026 05:31 PM,AOC,Appointment of Level II transport contractor for transportation of CMR from RRC to FPS point of Anandapur Block,Appointment of Level II transport contractor for transportation of CMR from RRC to FPS point of Anandapur Block,Refer to tender Document  ,NA ,"55,22,802",Handling and Transportation,NA ,Tender,180.0,580.0,Anandapur Block under Keonjhar District,758021.0,"O/o - CCSO-cum-DM, OSCSC , Ltd Keonjhar ","O/o - CCSO-cum-DM, OSCSC , Ltd Keonjhar ",01-Sep-2025 04:00 PM ,"Mini Conference Hall , Collectorate , Keonjhar",No ,No,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Keonjhar,2605/Date-25/08/2025,2025_OSCSC_117394_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"2,76,140",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,NIT,"5,900",0.0,Nil,Nil,No,30-Aug-2025 10:00 AM,17-Sep-2025 11:00 AM,30-Aug-2025 10:00 AM,16-Sep-2025 05:00 PM,30-Aug-2025 10:00 AM ,30-Aug-2025 05:00 PM ,30-Aug-2025 10:00 AM,16-Sep-2025 05:00 PM,27-Nov-2025 11:00 AM,1.0,ICICI BANK,"CCSO-cum-DM, OSCSC, Ltd Keonjhar","O/o - CCSO-cum-DM, OSCSC , Ltd Keonjhar",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3080498,Mr. Sanjay Kumar Mishra,15-Sep-2025 11:38 AM,Rejected-Finance,Quoted rate BSoR 14.99 percentage. Disqualified through lottery,09-Jan-2026 05:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3083498,OMM ROADWAYS,16-Sep-2025 01:55 PM,Accepted-AOC,"The bidder accpeted BSoR 14.99 through lottery, Hence selected and appointed as L II TC for Anandapur Block w.e.f. 16/12/2025.",15-Jan-2026 06:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3082738,PRADEEP KUMAR MUDULI,16-Sep-2025 02:23 PM,Rejected-Finance,Quoted rate BSoR 14.99 percentage. Disqualified through lottery,09-Jan-2026 05:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3081847,TARAKANTA DAS,16-Sep-2025 01:23 PM,Rejected-Finance,Quoted rate BSoR 14.99 percentage. Disqualified through lottery,09-Jan-2026 05:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
