Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"The Executive Engineer, R. W. Division,","The Superintending Engineer, R. W. Division, Jagatsinghpur","5,870",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert., No relation and Affidavit towards Correctness Certificate",07-Nov-2025 11:00 AM,15-Nov-2025 11:00 AM,07-Nov-2025 11:00 AM,14-Nov-2025 05:00 PM,07-Nov-2025 11:00 AM ,13-Nov-2025 03:00 PM ,07-Nov-2025 11:00 AM,14-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 08 of 2025-26,2025_CERWI_120889_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Mandasahi to Titigaon Road for the year 2025-26,S/R to Mandasahi to Titigaon Road for the year 2025-26,Please refer Tender documents. ,NA ,"5,87,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,"4,000",0.0,Nil,Nil,No,AOC,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_120889_3,Tender Online - 08 of 2025-26,S/R to Mandasahi to Titigaon Road for the year 2025-26,"SE,RW,JSPUR",Internal,,Dipika Majhi,02-Jan-2026 04:01 PM,finsummary_562320.pdf (2074.65 KB),Finance,Summary,Dipika Majhi,02-Jan-2026 03:53 PM,finance_562320.pdf,BOQ Comparative Chart,1.0,3222843.0,Debasish nayak,INR,"499,123",02-Jan-2026,"INR 499,123",30.0,Dipika Majhi,02-Jan-2026 04:06 PM,8422.pdf (2075.00 KB),S/R to Mandasahi to Titigaon Road for the year 2025-26,1,3222915,ABHIJIT DAS,13-Nov-2025 09:14 PM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,"SE,RW,JSPUR",Internal,,Dipika Majhi,02-Jan-2026 03:56 PM,techsummary_562320.pdf (590.17 KB),AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3221112,AJAYA KUMAR BHUYAN,13-Nov-2025 01:20 PM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3223107,ASHUTOSH SAHOO,13-Nov-2025 09:55 PM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3210327,BIBHUTI BHUSAN RAY,10-Nov-2025 11:24 PM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3222754,BISWA RANJAN SWAIN,13-Nov-2025 08:34 PM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3222843,Debasish nayak,13-Nov-2025 08:58 PM,Accepted-AOC,successful bidder,02-Jan-2026 04:06 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3218780,MANAS KUMAR MUDULI,12-Nov-2025 07:12 PM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3224567,NAGENDRA JENA,14-Nov-2025 03:22 PM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3224488,NIRUPAMA BEHERA,14-Nov-2025 01:34 PM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3223276,PRADEEP KUMAR DAS,14-Nov-2025 10:06 AM,Rejected-Technical,L2,02-Jan-2026 03:56 PM,,,,,,,AOC
