Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
28-Jan-2026,"INR 1,426,542.28",30.0,Swarna Prava Jena,28-Jan-2026 05:11 PM,05.pdf (459.00 KB),AWARD OF CONTRACT,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,2025_CERWI_120455_13,Tender Online 05 JJPT of 2025-26,S/R to Chandigola Chhak to Mandarakhanda via Gangadharpur Sarangisahi and Baitangi Road for the year 2025-26,1.0,3179542.0,LAXMIDHAR SAHOO,INR,"1,426,542.28",1,3183295,ANANTA NARAYAN JENA,05-Nov-2025 10:46 AM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,Finance,14 Nos. of Bidders,Truptimayee Pradhan,07-Nov-2025 05:49 PM,,BOQ Comparative Chart,SUPERINTENDING ENGINEER,Internal,"DAO, ESTIMATOR",Swarna Prava Jena,28-Jan-2026 05:07 PM,finsummary_560609.pdf (459.01 KB),SUPERINTENDING ENGINEER,Internal,"DAO, ESTIMATOR",Swarna Prava Jena,28-Jan-2026 04:28 PM,techsummary_560609.pdf (459.01 KB),AOC,"17,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",1.0,ICICI BANK,Superintending Engineer,"Rural Works Division,Jajpur","6,000",0.0,Nil,Nil,No,S/R to Chandigola Chhak to Mandarakhanda via Gangadharpur Sarangisahi and Baitangi Road for the year 2025-26,S/R to Chandigola Chhak to Mandarakhanda via Gangadharpur Sarangisahi and Baitangi Road for the year 2025-26,Please refer Tender documents. ,NA ,"16,78,088",Civil Works - Roads,NA ,Tender,90.0,30.0,JAJPUR,755007.0,NA ,NA ,NA ,"RURAL WORKS DIVISION,JAJPUR",No ,No,31-Oct-2025 06:55 PM,07-Nov-2025 11:00 AM,31-Oct-2025 06:55 PM,06-Nov-2025 05:00 PM,31-Oct-2025 06:55 PM ,04-Nov-2025 05:00 PM ,31-Oct-2025 06:55 PM,06-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,Tender Online 05 JJPT of 2025-26,2025_CERWI_120455_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,3176274,DHARMENDRA KUMAR PARIDA,06-Nov-2025 11:30 AM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3179542,LAXMIDHAR SAHOO,04-Nov-2025 07:29 PM,Accepted-AOC,QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3189800,MS DEVANSH INFRA,06-Nov-2025 04:02 PM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3178583,M/S JAGABALIA ENTERPRISES,03-Nov-2025 06:07 PM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3188786,M/S MAA MANGALA CONSTRUCTION,06-Nov-2025 01:29 PM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3176501,M/S UPENDRA PARIDA,06-Nov-2025 11:17 AM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3182532,SARATA CHANDRA MISHRA,04-Nov-2025 09:55 PM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3182556,SAROJINI NAYAK,05-Nov-2025 05:23 PM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3179253,SHANTI SAHOO,04-Nov-2025 12:43 PM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,3188678,SMRUTI PRASANNA MOHAPATRA,06-Nov-2025 01:16 PM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,3181909,SNEHASIS SOURAV SAMANTARAY,04-Nov-2025 09:05 PM,Rejected-AOC,NOT QUALIFY,28-Jan-2026 05:11 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
