Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
"Sagar Mohanty, EIC Procurement",Internal,,Rajib Kumar Pandit,02-Dec-2025 07:15 PM,04-Dec-2025 11:30 AM,techsummary_532512.pdf (546.71 KB),Finance,Download Successfully.,Subhashree .,27-Dec-2025 12:16 AM,,BOQ Comparative Chart,05-Jan-2026,"INR 61,777,571",330.0,Rajib Kumar Pandit,21-Jan-2026 02:25 PM,AOC.pdf (899.00 KB),"Awarded to SriTapan Kumar Sahu, vide Agt No.166P1 of 2025-26 of Chikiti Irr. Division, Chikiti",1,2863728,Akshya Kumar Dash,24-Mar-2025 05:07 PM,Rejected-Technical,Non Responsive,02-Dec-2025 07:15 PM,1.0,2866297.0,Tapan Kumar Sahu,INR,"61,777,571","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur",2025_CEBMB_111442_1,"ACE,RBB-15/2024-25","Improvement to service bank of LMC from RD 6.48 KM to 8.260Km, Manidhia Distr. from RD 00 to 1.325KM, N.K. Pentho Dist. from RD 00 to 2.35 KM. Jakamerpalli road from RD 00 to 415 Mtr and BB Palli Dist. from RD 00 to 3.00 KM of Ghodahada Irr. Project",Technical,Bid Documents open successfully,Subhashree .,02-Dec-2025 06:47 PM,,"Sagar Mohanty, EIC Procurement",Internal,,Rajib Kumar Pandit,31-Dec-2025 03:44 PM,finsummary_532512.pdf (566.37 KB),AOC,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Contractor RC,","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","ACE,RBB-15/2024-25",2025_CEBMB_111442_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Improvement to service bank of LMC from RD 6.48 KM to 8.260Km, Manidhia Distr. from RD 00 to 1.325KM, N.K. Pentho Dist. from RD 00 to 2.35 KM. Jakamerpalli road from RD 00 to 415 Mtr and BB Palli Dist. from RD 00 to 3.00 KM of Ghodahada Irr. Project","Improvement to service bank of LMC from RD 6.48 KM to 8.260Km, Manidhia Distr. from RD 00 to 1.325KM, N.K. Pentho Dist. from RD 00 to 2.35 KM. Jakamerpalli road from RD 00 to 415 Mtr and BB Palli Dist. from RD 00 to 3.00 KM of Ghodahada Irr. Project",Please refer Tender documents. ,NA ,"7,26,70,946",Civil Works - Roads,NA ,Tender,90.0,330.0,Digapahandi,761012.0,NA ,NA ,NA ,"Office of the Additional CE, RB Basin, Berhampur",No ,No,"7,27,000",Yes,fixed,,Nil,Nil,10-Mar-2025 10:00 AM,26-Mar-2025 09:00 AM,10-Mar-2025 10:00 AM,25-Mar-2025 05:00 PM,10-Mar-2025 10:00 AM ,21-Mar-2025 05:00 PM ,10-Mar-2025 10:00 AM,25-Mar-2025 05:00 PM,04-Dec-2025 11:30 AM,"Additional CE, RB Basin, Berhampur","Office of the Additional CE, RB Basin Berhampur PIN 760004",AOC
,,,,,,,,,,,,,,,,,,,,2,2867834,CHANDAN PRASAD PADHY,25-Mar-2025 01:32 PM,Rejected-Technical,Non Responsive,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit under taking, declaring no Relationship with Department officials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,2861161,Gajendra Prasad Panda,21-Mar-2025 12:01 PM,Rejected-Technical,Non Responsive,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,.pdf,And any other documents as per SBD and DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,2863769,Ganesh Chandra Mohanty,23-Mar-2025 08:00 PM,Rejected-Technical,Non Responsive,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,2865188,G.Gopal Rao Dora,23-Mar-2025 12:19 PM,Rejected-Technical,Non Responsive,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,2862660,M/s Bajarangi Construction,20-Mar-2025 08:41 PM,Rejected-Finance,Unsuccess in transparent lottery,31-Dec-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,2867329,Nilachala Sahu,24-Mar-2025 06:56 PM,Rejected-Technical,Non Responsive,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,2867797,NILAMADHAB SAHU,25-Mar-2025 01:08 PM,Rejected-Finance,Unsuccess in transparent lottery,31-Dec-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,2863797,PRABHAT KUMAR SAHU,25-Mar-2025 12:27 PM,Rejected-Finance,Unsuccess in transparent lottery,31-Dec-2025 03:44 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,2867646,PRABIN KUMAR DALABEHERA,25-Mar-2025 11:29 AM,Rejected-Technical,Non Responsive,02-Dec-2025 07:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
