Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Upgradation and Holistic Development of Aranyanivas Dangamal Bitarkanika,Upgradation and Holistic Development of Aranyanivas Dangamal Bitarkanika,As per DCTN ,NA ,"1,56,93,000",Civil Works - Others,NA ,Tender,180.0,270.0,Dangamal Bhitarkanika,754248.0,NA ,NA ,NA ,O/o Superintending Engineer OTDC Ltd Bhubaneswar,No ,No,11-Oct-2025 09:00 AM,04-Nov-2025 11:30 AM,11-Oct-2025 09:00 AM,03-Nov-2025 05:00 PM,NA ,NA ,11-Oct-2025 09:00 AM,03-Nov-2025 05:00 PM,16-Dec-2025 11:30 AM,Odisha Tourism Devl. Corp.,BPI/20/2025-26 Dt. 03.10.2025,2025_OTDC_119301_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Upgradation and Holistic Development of Aranyanivas Dangamal Bitarkanika,Date,,1.0,ICICI BANK,"1,56,930",Yes,fixed,,Nil,Nil,O/o Superintending Engineer OTDC Ltd Bhubaneswar,O/o Superintending Engineer OTDC Ltd Bhubaneswar,"10,000","1,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,DTCN,AOC,1.0,3178027.0,PRAKASH KUMAR PANDA,INR,"13,340,619.33",Odisha Tourism Devl. Corp.,2025_OTDC_119301_1,BPI/20/2025-26 Dt. 03.10.2025,Upgradation and Holistic Development of Aranyanivas Dangamal Bitarkanika,S.K. Behera,Internal,"S. Pradhan, A. S. Swain, D. Malik",Sunil Kumar Behera,15-Dec-2025 11:14 AM,16-Dec-2025 11:30 AM,techsummary_555397.pdf (7237.62 KB),13-Jan-2026,"INR 13,340,619.33",270.0,Sunil Kumar Behera,23-Jan-2026 04:34 PM,AOC.pdf (572.00 KB),WORK ORDER,S.K. Behera,Internal,"P.K. JENA, A. S. SWAIN",Sunil Kumar Behera,11-Jan-2026 05:25 PM,finsummary_555397.pdf (309.01 KB),Finance,Financial Proceeding,Sunil Kumar Behera,11-Jan-2026 05:18 PM,finance_555397.pdf,BOQ Comparative Chart,Technical,LIST OF BIDDERS,Lopamudra Behera,13-Nov-2025 02:39 PM,technical_555397.pdf,1,3152448,ALOK KUMAR SAHOO,25-Oct-2025 07:54 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Upgradation and Holistic Development of Aranyanivas Dangamal Bitarkanika,Other,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3164571,Ananta Kumar Das,28-Oct-2025 10:08 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3152417,Bimalesh Nayak,27-Oct-2025 12:36 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3150452,M/S SILICON INTERIORS,27-Oct-2025 05:33 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3177814,PRADEEP KUMAR MAJHI,03-Nov-2025 04:37 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3178027,PRAKASH KUMAR PANDA,03-Nov-2025 04:09 PM,Accepted-AOC,SUCESSFUL BIDDER,23-Jan-2026 04:34 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3149122,PRASANA KUMAR SAHOO,24-Oct-2025 05:10 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3172670,SANDEEP NAYAK,03-Nov-2025 01:59 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3172700,SISIR KUMAR NAYAK,03-Nov-2025 01:55 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3157777,SNEHALATA CONSTRUCTION AND INTERIOR,03-Nov-2025 03:49 PM,Rejected-Finance,UNSUCESSFUL BIDDER IN TRANSPARENT LOTTERY SYSTEM,11-Jan-2026 05:25 PM,AOC
