Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"Superintending Engineer, R.W. Division, Jaleswar","At/Po- Chalanti, Via- Jaleswar","29,904",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P. cost, EMD declaration, R.C., GST, PAN, Adhar, Affidavit etc as per DTCN",1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,SE/RW/Jls- 10/2025-26,2025_CERWI_121178_40,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Periodical Maintenance of B.B.Road - Birparulia for the year 2025-26.,Road Works,Please refer Tender documents. ,NA ,"29,90,435",Civil Works - Roads,NA ,Tender,90.0,90.0,Jaleswar,756086.0,NA ,NA ,NA ,"Rural Works Division, Jaleswar",No ,No,13-Nov-2025 03:00 PM,20-Nov-2025 11:00 AM,13-Nov-2025 03:00 PM,19-Nov-2025 05:00 PM,13-Nov-2025 03:00 PM ,18-Nov-2025 05:00 PM ,13-Nov-2025 03:00 PM,19-Nov-2025 05:00 PM,AOC,Er Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,29-Nov-2025 03:59 PM,techsummary_563992.pdf (481.74 KB),Er. Saubhagya Kumar Das,Internal,,Nirupama Sankhua,17-Jan-2026 03:09 PM,finsummary_563992.pdf (832.03 KB),Finance,All bidders have qualified,Soubhagya Kumar Das,29-Nov-2025 03:53 PM,,BOQ Comparative Chart,1,3238496,AJIT KUMAR JENA,19-Nov-2025 04:44 PM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,1.0,3235339.0,ANANTA KUMAR JENA,INR,"2,542,169",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,2025_CERWI_121178_40,SE/RW/Jls- 10/2025-26,Periodical Maintenance of B.B.Road - Birparulia for the year 2025-26.,17-Jan-2026,"INR 2,990,435",90.0,Nirupama Sankhua,17-Jan-2026 03:17 PM,bbroadworkorder.pdf (571.00 KB),AOC
,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3235339,ANANTA KUMAR JENA,18-Nov-2025 02:20 PM,Accepted-AOC,The work order has issued to the agency.,17-Jan-2026 03:17 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3236894,Anjan kumar Das,19-Nov-2025 03:39 AM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3237222,BIKASH SAHU,19-Nov-2025 11:37 AM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3237937,BISNU RANJAN DAS,19-Nov-2025 01:23 PM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3233195,CHINMAY MOHAPATRA,19-Nov-2025 09:52 AM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3238515,DHANANJAY MASANTA,19-Nov-2025 04:12 PM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3237202,DINESH KUMAR PAL,19-Nov-2025 10:45 AM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3226433,GITANJALI JENA,19-Nov-2025 12:22 AM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3238265,GOPAL CHANDRA DAS,19-Nov-2025 02:43 PM,Rejected-Finance,The bidder has not selected through the lottery system.,17-Jan-2026 03:09 PM,,,,,,,,,,,,,,,,AOC
