S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,Periodical Maintenance to PWD Road to Bankbihar for the year 2025-26,Periodical Maintenance to PWD Road to Bankbihar for the year 2025-26,Please refer Tender documents. ,NA ,"23,90,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Superintending Engineer, R.W.D, Patnagarh",No ,No,"23,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD, EMD, R.C, PAN, GSTIN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",08-Nov-2025 06:00 PM,24-Nov-2025 11:00 AM,08-Nov-2025 06:00 PM,21-Nov-2025 05:00 PM,08-Nov-2025 06:00 PM ,20-Nov-2025 05:00 PM ,08-Nov-2025 06:00 PM,21-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-12/2025-26,2025_CERWI_120972_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"Executive Engineer, R.W.Division,Patnagarh","O/o the Superintending Engineer, R.W.D, Patnagarh",AOC,Executive Engineer,Internal,"Executive Engineer, DAO, EST",Manik Kumbhar,27-Jan-2026 12:50 PM,techsummary_562944.pdf (756.87 KB),Executive Engineer,Internal,"Executive Engineer, DAO, EST",Manik Kumbhar,27-Jan-2026 12:59 PM,finsummary_562944.pdf (756.87 KB),Finance,18 Nos bid opened,Bebisuta Sahu,29-Nov-2025 02:01 PM,finance_562944.pdf,BOQ Comparative Chart,1,3237105,ASHOK KUMAR PANDEY,20-Nov-2025 10:54 AM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,1.0,3222818.0,Kunja Bihari Sahu,INR,"2,031,628",CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_120972_12,EEPTNG-online-12/2025-26,Periodical Maintenance to PWD Road to Bankbihar for the year 2025-26,27-Jan-2026,"INR 2,031,628",60.0,Manik Kumbhar,27-Jan-2026 01:05 PM,5992.pdf (558.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3243225,DEBABRATA BRAHMA,21-Nov-2025 01:19 AM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3243697,DIPAK KUMAR AGRAWAL,21-Nov-2025 12:09 PM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3242468,KANHA AGRAWAL,20-Nov-2025 05:30 PM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3239647,KARTIKA MEHER,19-Nov-2025 09:28 PM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3222818,Kunja Bihari Sahu,14-Nov-2025 12:14 PM,Accepted-AOC,Successful Bidder,27-Jan-2026 01:05 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3244201,LOKANATH BARIK,21-Nov-2025 03:09 PM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3242003,MAHAMMED RIZWAN,20-Nov-2025 03:33 PM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3233875,MANISHA JAIN,19-Nov-2025 12:11 PM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3242517,M/S AYAAN VENTURES,20-Nov-2025 07:14 PM,Rejected-Finance,Unsuccessful Bidder in Lottery System,27-Jan-2026 12:59 PM,,,,,,,,,,,,,,,,AOC
