Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,ok,Bidyut Prabha Padhy,08-Jan-2026 01:53 PM,,BOQ Comparative Chart,1.0,3241549.0,PRAMOD KUMAR DASH,INR,"1,270,543",CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,2025_CERWI_121235_4,Online Tender 08/MOHANA/2025-26,SR to Guburuguda to Gothakeli Road for the year 2025-26,Executive Engineer,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,08-Jan-2026 02:02 PM,finsummary_564287.pdf (1222.02 KB),Executive Engineer,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,08-Jan-2026 01:58 PM,techsummary_564287.pdf (1222.02 KB),1,3242232,ANIL KUMAR SETHI,20-Nov-2025 04:13 PM,Rejected-AOC,All documents submitted.,08-Jan-2026 02:05 PM,08-Jan-2026,"INR 1,270,543",30.0,Bidyut Prabha Padhy,08-Jan-2026 02:05 PM,2025_CERWI_121235_4.pdf (1222.00 KB),Successful Bidder,AOC,"15,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,Online Tender 08/MOHANA/2025-26,2025_CERWI_121235_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,15-Nov-2025 10:00 AM,21-Nov-2025 11:00 AM,15-Nov-2025 10:00 AM,20-Nov-2025 05:00 PM,15-Nov-2025 10:00 AM ,18-Nov-2025 05:00 PM ,15-Nov-2025 10:00 AM,20-Nov-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,SR to Guburuguda to Gothakeli Road for the year 2025-26,SR to Guburuguda to Gothakeli Road for the year 2025-26,Please refer Tender documents. ,NA ,"14,95,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Mohana,761015.0,NA ,NA ,NA ,"O/o Executive Engineer, RW Division, Mohana",No ,No,EXECUTIVE ENGINEER,"O/o Executive Engineer, RW Division, Mohana Near Civil Court",1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit,GSTIN,PAN,RC,other papers as per DTCN,BOQ",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3239327,MAMATA KUMARI SATAPATHY,19-Nov-2025 06:45 PM,Rejected-AOC,All documents submitted.,08-Jan-2026 02:05 PM,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3241549,PRAMOD KUMAR DASH,20-Nov-2025 02:04 PM,Accepted-AOC,Successful Bidder,08-Jan-2026 02:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3239493,RAMA KRUSHNA MOHANTY,20-Nov-2025 10:29 AM,Rejected-AOC,All documents submitted.,08-Jan-2026 02:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3240346,SIMANCHAL SAHU,20-Nov-2025 10:00 AM,Rejected-AOC,All documents submitted.,08-Jan-2026 02:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3240792,SITUN KUMAR SAHU,20-Nov-2025 12:21 PM,Rejected-AOC,All documents submitted.,08-Jan-2026 02:05 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
