Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,opened,Sushil Kumar Nayak,12-Jan-2026 07:39 PM,finance_560273.pdf,BOQ Comparative Chart,12-Jan-2026,"INR 213,853",30.0,Sushil Kumar Nayak,12-Jan-2026 08:08 PM,W.pdf (700.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Karanjia,2025_CERWI_120389_18,RWDKNJ-04/2025-26,S/R to R.I. office cum residence at Kerkera For the year 2025-26,1.0,3195467.0,JAGADISH CHANDRA SINGH,INR,"213,853",1,3207215,ANKIT NAIK,10-Nov-2025 02:08 PM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,Sushil Kumar Nayak,Internal,,Sushil Kumar Nayak,12-Jan-2026 07:45 PM,techsummary_560273.pdf (474.54 KB),Sushil Kumar Nayak,Internal,,Sushil Kumar Nayak,12-Jan-2026 07:57 PM,finsummary_560273.pdf (1434.21 KB),AOC,1.0,ICICI BANK,Executive Engineer,"Executive Engineer O/o SE RW Division, Karanjia",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTIN and all Affidavits as per DTCN","2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Karanjia,RWDKNJ-04/2025-26,2025_CERWI_120389_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to R.I. office cum residence at Kerkera For the year 2025-26,S/R to R.I. office cum residence at Kerkera For the year 2025-26,Please refer Tender documents. ,NA ,"2,51,561",Civil Works - Buildings,NA ,Tender,90.0,30.0,Karanjia,757037.0,NA ,NA ,NA ,"O/o SE RW Division, Karanjia",No ,No,"2,516",Yes,percentage,1.0%,Nil,Nil,31-Oct-2025 11:00 AM,11-Nov-2025 11:00 AM,31-Oct-2025 11:00 AM,10-Nov-2025 05:00 PM,31-Oct-2025 11:00 AM ,10-Nov-2025 01:00 PM ,31-Oct-2025 11:00 AM,10-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,2,3198077,BHOLANATH NAIK,10-Nov-2025 01:36 AM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3208203,CHANDRA SEKHAR MOHANTA,10-Nov-2025 03:37 PM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3203258,DINA KRUSHNA MAHAKUD,09-Nov-2025 07:39 PM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3195467,JAGADISH CHANDRA SINGH,07-Nov-2025 09:22 PM,Accepted-AOC,Qualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3208087,MAA JAGADHATRI LCCS LTD,10-Nov-2025 03:27 PM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3202320,MAHENDRANATH DAS,10-Nov-2025 02:42 PM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3201419,NIHAR RANJAN MAHAKUD,09-Nov-2025 01:27 PM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3184369,PURNA CHANDRA MAHANTA,05-Nov-2025 02:23 PM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3208369,PURUSOTTAM MOHANTA,10-Nov-2025 04:40 PM,Rejected-AOC,Disqualified,12-Jan-2026 08:08 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
