Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"SE, Baitarani Irrigation Division, Salapada","SE, Baitarani Irrigation Division, Salapada","6,000",Nil,Nil,No,Improvement to scourd bank on Gagia nalla near Rameswar temple at Padana chack for the year 2025-26,Improvement to scourd bank on Gagia nalla near Rameswar temple at Padana chack for the year 2025-26,Please refer Tender documents. ,NA ,"40,99,000",Civil Works - Others,NA ,Tender,90.0,120.0,Salapada,758020.0,NA ,NA ,NA ,"SE, Baitarani Irrigation Division, Salapada",No ,No,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,BAID 02 OF 2025-26,2025_KIDK_118339_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"41,000",Yes,fixed,,Nil,Nil,25-Sep-2025 09:00 AM,10-Oct-2025 11:00 AM,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,NA ,NA ,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Affidavit, RC, No Relationship etc.",AOC,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 05:05 PM,finsummary_553330.pdf (399.22 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,2025_KIDK_118339_37,BAID 02 OF 2025-26,Improvement to scourd bank on Gagia nalla near Rameswar temple at Padana chack for the year 2025-26,1.0,3118723.0,CHANDRA KANTA ROUT,INR,"3,484,504",Finance,U,SIDDHARTHA SHANKAR DAS,22-Nov-2025 12:49 PM,finance_553330.pdf,BOQ Comparative Chart,27-Jan-2026,"INR 3,484,504",120.0,Laxman Marandi,27-Jan-2026 07:13 AM,37.pdf (307.00 KB),aoc,1,3119362,ANITA NAIK,09-Oct-2025 12:53 PM,Rejected-Finance,r,22-Nov-2025 05:05 PM,"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 04:57 PM,techsummary_553330.pdf (399.22 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3117732,BANANI PADHIHARI,08-Oct-2025 07:32 PM,Rejected-Finance,r,22-Nov-2025 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3118864,BHAKTABANDHU AYACH,09-Oct-2025 10:46 AM,Rejected-Finance,r,22-Nov-2025 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3118723,CHANDRA KANTA ROUT,09-Oct-2025 09:26 AM,Accepted-AOC,1st lowest,27-Jan-2026 07:13 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3113736,DIBYAJIBAN SAHOO,07-Oct-2025 11:25 AM,Rejected-Finance,r,22-Nov-2025 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3114387,MANOJ KUMAR PARIHARI,07-Oct-2025 08:03 PM,Rejected-Finance,r,22-Nov-2025 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3119669,MRUTYUNJAY JENA,09-Oct-2025 03:20 PM,Rejected-Finance,r,22-Nov-2025 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3119705,RAJA SATYAPRAKASH DALAI,09-Oct-2025 02:04 PM,Rejected-Finance,r,22-Nov-2025 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3118955,RANJIT KUMAR SWAIN,09-Oct-2025 11:19 AM,Rejected-Finance,r,22-Nov-2025 05:05 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3101504,RITUPARNA GOSWAMI,06-Oct-2025 02:51 PM,Rejected-Finance,r,22-Nov-2025 05:05 PM,,,,,,,AOC
