Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,SUMMARY,Srikrushna Sabar,17-Jan-2026 12:08 PM,finance_570030.pdf,BOQ Comparative Chart,1.0,3300275.0,PRAMOD KISHORE KHORA,INR,"1,780,188",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,2025_CERWI_122748_1,SERWKPT ONLINE 02/2025-26,PS road to Bijmara_Road_Renewal coat of SDBC with WMM profile correction_0/000 to 1/400,Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,30-Jan-2026 02:01 PM,finsummary_570030.pdf (1135.84 KB),Executive Engineer,Internal,"Assistant Engineer Estimator, Divisional Accounts Officer and Junior Engineer Estimator",Srikrushna Sabar,30-Jan-2026 01:54 PM,techsummary_570030.pdf (1135.84 KB),30-Jan-2026,"INR 1,780,188",60.0,Srikrushna Sabar,30-Jan-2026 02:06 PM,Bijimara_A.pdf (412.00 KB),Agreement Drawn,1,3299806,Arvind Kumar,13-Dec-2025 05:35 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,1.0,ICICI BANK,"20,940",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,Divisional Officer,"RURAL WORKS DIVISION, KORAPUT",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, RC, GST, PAN, Court Affidavit and other documents as per DTCN",PS road to Bijmara_Road_Renewal coat of SDBC with WMM profile correction_0/000 to 1/400,PS road to Bijmara_Road_Renewal coat of SDBC with WMM profile correction_0/000 to 1/400,NA ,NA ,"20,94,092",Civil Works - Roads,NA ,Tender,90.0,60.0,Koraput,764020.0,Superintending Engineer RWD Koraput ,Superintending Engineer RWD Koraput ,08-Dec-2025 11:00 AM ,"RURAL WORKS DIVISION, KORAPUT",No ,No,1.0,2nd Corrigendum,Technical Bid,,08-Dec-2025 11:00 AM,16-Dec-2025 11:00 AM,08-Dec-2025 11:00 AM,15-Dec-2025 05:30 PM,08-Dec-2025 11:00 AM ,15-Dec-2025 05:30 PM ,08-Dec-2025 11:00 AM,15-Dec-2025 05:30 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-KORAPUT,SERWKPT ONLINE 02/2025-26,2025_CERWI_122748_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3299266,Balaram Subuddhi,13-Dec-2025 03:38 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3299106,CHANCHAL KUMAR NAYAK,13-Dec-2025 04:13 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3297785,JITENDRA SAGAR,12-Dec-2025 05:40 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3299383,Khagapati Khara,13-Dec-2025 12:59 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3296283,LIPUN PRADHAN,11-Dec-2025 09:41 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3300408,NIHAR MAHAPATRA,14-Dec-2025 12:21 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3301698,PINTU BISOI,14-Dec-2025 11:14 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3300275,PRAMOD KISHORE KHORA,14-Dec-2025 07:28 PM,Accepted-AOC,Qualified after drawl of lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3300515,PRAPHULLA MUDULI,14-Dec-2025 09:30 AM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3296644,PURNA KUMAR SAHU,12-Dec-2025 08:53 PM,Rejected-AOC,Lost in lottery,30-Jan-2026 02:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
