S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3212033.0,PATHA RAY,INR,"1,270,800",Finance,AOC for Agreement Details,Jangya Narayan Gouda,16-Jan-2026 04:47 PM,finance_561963.pdf,BOQ Comparative Chart,"SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,16-Jan-2026 04:56 PM,finsummary_561963.pdf (272.81 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,2025_CERWI_120836_1,07/2025-26,"Venkakatapalam toTeliguda_Road_GSB, Gr-ll,Gr-lll,and PMC,SC_2/000 to 2/530","SE RWD-II, MKG",Internal,"Superintending Engineer, DAO, Estimator",Jangya Narayan Gouda,16-Jan-2026 04:51 PM,techsummary_561963.pdf (272.81 KB),16-Jan-2026,"INR 1,270,800",60.0,Jangya Narayan Gouda,16-Jan-2026 05:01 PM,AGTVenkatpalamtoTeligudaParthaRay.pdf (273.00 KB),AOC for Agreement Details,1,3215663,ARUP KUMAR HALDAR,12-Nov-2025 11:36 AM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"PANCARD, GST, CONTRACTOR REGISTRATION, LICENSE, AFFIDAVIT ETC.",06-Nov-2025 11:00 AM,13-Nov-2025 11:00 AM,06-Nov-2025 11:00 AM,12-Nov-2025 05:30 PM,06-Nov-2025 11:00 AM ,11-Nov-2025 03:00 PM ,06-Nov-2025 11:00 AM,12-Nov-2025 05:30 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-MALKANGIRI - II,07/2025-26,2025_CERWI_120836_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION NO.II, MALKANGIRI","6,000",0.0,Nil,Nil,No,"Venkakatapalam toTeliguda_Road_GSB, Gr-ll,Gr-lll,and PMC,SC_2/000 to 2/530","Venkakatapalam toTeliguda_Road_GSB, Gr-ll,Gr-lll,and PMC,SC_2/000 to 2/530",NA ,NA ,"14,94,883",Civil Works - Roads,NA ,Tender,90.0,60.0,Malkangiri,764048.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, MALKANGIRI",No ,No,"14,960",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3213714,Bhabesh Dhali,11-Nov-2025 03:48 PM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3197866,BHIMA MADAKAMI,09-Nov-2025 09:08 AM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3206407,BISWAJIT SARDAR,12-Nov-2025 03:37 PM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3215732,KAMALESH DAS,12-Nov-2025 09:37 AM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3211172,NIMAI BADAL (S.C),11-Nov-2025 05:31 PM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3216520,NITAI CHANDRA BISWAS,12-Nov-2025 01:29 PM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3212033,PATHA RAY,11-Nov-2025 07:32 PM,Accepted-AOC,Lottery Winner,16-Jan-2026 05:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3209938,PRAHALLAD DAS,10-Nov-2025 09:24 PM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3210171,PRAVASH CHANDRA BAIRAGI,11-Nov-2025 03:40 PM,Rejected-AOC,Un-Successful,16-Jan-2026 05:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
