S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2932731.0,Namita Mohapatra,INR,"1,423,250.17",Finance,Downloaded tender documents of all the bidders have been downloaded successfully.,Sudhanshu Sekhar Nayak,29-May-2025 10:31 PM,finance_540171.pdf,BOQ Comparative Chart,SE Jajpur Irrigation Division,Internal,Estimator and DAO Jajpur Irrigation Division,Ratnakar Dalai,06-Jan-2026 05:41 PM,finsummary_540171.pdf (225.75 KB),CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,2025_CDJID_113607_5,e-Procurement Notice No.01/ 2025-26,JJPR-9/25-26 Repair to Jajpur Main Canal from RD 00 to 10.00 KM,"Superintending Engineer, Jajpur Irrigation Division",Internal,"Estimator and DAO, Jajpur Irrigation Division",Ratnakar Dalai,10-Jul-2025 12:03 PM,techsummary_540171.pdf (348.65 KB),06-Jan-2026,"INR 1,423,250.17",180.0,Ratnakar Dalai,06-Jan-2026 05:43 PM,WOJJPR_09.pdf (226.00 KB),Contract Awarded,1,2938291,ABHIMANYU JENA,28-May-2025 03:48 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,20-May-2025 10:00 AM,29-May-2025 11:30 AM,20-May-2025 10:00 AM,28-May-2025 05:00 PM,20-May-2025 10:00 AM ,26-May-2025 05:00 PM ,20-May-2025 10:00 AM,28-May-2025 05:00 PM,"16,800",Yes,fixed,,Nil,Nil,Superintending Engineer,"O/o the SE, Jajpur Irrigation Division, Jajpur",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jajpur Irrigation Division,e-Procurement Notice No.01/ 2025-26,2025_CDJID_113607_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption","6,000",Nil,Nil,No,1.0,ICICI BANK,JJPR-9/25-26 Repair to Jajpur Main Canal from RD 00 to 10.00 KM,Canal work,Please refer Tender documents. ,NA ,"16,74,215",Civil Works - Canal,NA ,Tender,90.0,180.0,Dist-Jajpur,755001.0,NA ,NA ,NA ,"O/o the SE, Jajpur Irrigation Division, Jajpur",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2934257,ASHOK KUMAR MOHANTY,27-May-2025 06:08 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2936003,Bidyadhar Sahoo,27-May-2025 07:41 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2934430,BIJAYA KUMAR SAHOO,28-May-2025 03:22 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2932298,BISHNU CHARAN BEHERA,26-May-2025 07:18 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2933219,DAMAYANTI ROUT,26-May-2025 08:23 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2926687,DILLIP KUMAR BEHERA,20-May-2025 08:39 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2936763,DILLIP KUMAR SAMAL,28-May-2025 01:58 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2935364,JAY MAA BIRAJA CONSTRUCTION & SUPPLIERS PROP ASWINI KUMAR NAYAK,27-May-2025 10:10 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2935726,JYOTI MOHAN MOHANTY,27-May-2025 06:16 PM,Rejected-Technical,Does not satisfy as per DTCN,10-Jul-2025 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
