Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,opened,Sushil Kumar Nayak,29-Jan-2026 10:54 AM,finance_560235.pdf,BOQ Comparative Chart,1.0,3198425.0,GOVIND CHANDRA MOHANTA,INR,"356,953",CE RW I||RWCIRCLE-BARIPADA||RW Division Karanjia,2025_CERWI_120389_6,RWDKNJ-04/2025-26,S/R to Tasan seed station at Thakurmunda for the year 2025-26,Sushil Kumar Nayak,Internal,,Sushil Kumar Nayak,29-Jan-2026 11:02 AM,finsummary_560235.pdf (1243.66 KB),Sushil Kumar Nayak,Internal,,Sushil Kumar Nayak,29-Jan-2026 10:57 AM,techsummary_560235.pdf (421.82 KB),29-Jan-2026,"INR 356,953",30.0,Sushil Kumar Nayak,29-Jan-2026 11:06 AM,tasar3.pdf (738.00 KB),1,3184336,BAIDYANATH HEMBRAM,06-Nov-2025 10:19 PM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,31-Oct-2025 11:00 AM,11-Nov-2025 11:00 AM,31-Oct-2025 11:00 AM,10-Nov-2025 05:00 PM,31-Oct-2025 11:00 AM ,10-Nov-2025 01:00 PM ,31-Oct-2025 11:00 AM,10-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GSTIN and all Affidavits as per DTCN","4,199",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BARIPADA||RW Division Karanjia,RWDKNJ-04/2025-26,2025_CERWI_120389_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,S/R to Tasan seed station at Thakurmunda for the year 2025-26,S/R to Tasan seed station at Thakurmunda for the year 2025-26,Please refer Tender documents. ,NA ,"4,19,896",Civil Works - Buildings,NA ,Tender,90.0,30.0,Karanjia,757037.0,NA ,NA ,NA ,"O/o SE RW Division, Karanjia",No ,No,Executive Engineer,"O/o SE RW Division, Karanjia Executive Engineer","2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3198543,DUKHABANDHU SETHY,08-Nov-2025 06:27 PM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3198425,GOVIND CHANDRA MOHANTA,08-Nov-2025 07:43 PM,Accepted-AOC,Qualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3205676,JAGABANDHU JENA,10-Nov-2025 11:30 AM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3184428,JATISH RANJAN DASH,10-Nov-2025 12:59 PM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3207079,MAA JAGADHATRI LCCS LTD,10-Nov-2025 01:48 PM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3207888,PADMALOCHAN PANDA,10-Nov-2025 02:59 PM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3207450,SANYASI KUMAR GHADEI,10-Nov-2025 02:21 PM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3195849,SAROJINI JENA,08-Nov-2025 01:53 PM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3204433,SASMITA MAJHI,09-Nov-2025 11:44 PM,Rejected-AOC,Disqualified,29-Jan-2026 11:08 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
