S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,3076778.0,KK SERVICE,INR,"702,454",Finance,"7Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,13-Sep-2025 02:10 PM,finance_551400.pdf,BOQ Comparative Chart,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,15-Jan-2026 11:23 AM,finsummary_551400.pdf (2213.93 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_117661_5,SE RandB Divn No.I-BAM-04/2025-26,"SITC of fire-fighting and alarm system at old cancer Hospital (G plush 1) Building, MKCG, Berhampur.","Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,15-Jan-2026 11:20 AM,techsummary_551400.pdf (2213.93 KB),15-Jan-2026,"INR 702,454",90.0,Somanath Tripathy,15-Jan-2026 11:29 AM,648.pdf (2214.00 KB),Contract Awarded to Sri/Smt K K Service,1,3077725,HAREKRUSHNA INDUSTRIES PROP. SURENDRA KUMAR JENA,12-Sep-2025 03:31 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 11:20 AM,AOC,"8,300",Yes,fixed,,Nil,Nil,"SITC of fire-fighting and alarm system at old cancer Hospital (G plush 1) Building, MKCG, Berhampur.","SITC of fire-fighting and alarm system at old cancer Hospital (G plush 1) Building, MKCG, Berhampur.",Please refer Tender documents. ,NA ,"8,26,319",Electrical Works,NA ,Tender,90.0,90.0,Berhampur,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE RandB Divn No.I-BAM-04/2025-26,2025_EICCL_117661_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.","4,000",0.0,Nil,Nil,No,04-Sep-2025 06:55 PM,13-Sep-2025 11:30 AM,04-Sep-2025 06:55 PM,12-Sep-2025 04:00 PM,04-Sep-2025 06:55 PM ,12-Sep-2025 04:00 PM ,04-Sep-2025 06:55 PM,12-Sep-2025 04:00 PM,1.0,"DTCN, Modification",Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3076778,KK SERVICE,11-Sep-2025 06:17 PM,Accepted-AOC,Win in Lottery,15-Jan-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3076717,M/S FIRESTOP SALES AND SERVICES,12-Sep-2025 11:16 AM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3072766,M/S OM CONSTRUCTION,10-Sep-2025 06:56 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3076800,S R INDUSTRIES,11-Sep-2025 06:38 PM,Rejected-AOC,Reject in Lottery,15-Jan-2026 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3077004,TRANSTECH SOLUTION,12-Sep-2025 02:26 AM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3076473,UMAFIRE SERVICES PVT. LTD,11-Sep-2025 04:02 PM,Rejected-Technical,Rejected due to not submit proper authorization,15-Jan-2026 11:20 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
