Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Opened,BIJAY KUMAR TARAI,24-Dec-2025 01:40 PM,,BOQ Comparative Chart,EE,Internal,DAO estimator,BIJAY KUMAR TARAI,20-Dec-2025 11:46 PM,22-Dec-2025 09:00 AM,techsummary_567215.pdf (110.49 KB),17-Jan-2026,"INR 2,935,241.01",90.0,BIJAY KUMAR TARAI,17-Jan-2026 06:49 PM,Tech.pdf (60.00 KB),Awarded,1,3278745,MS Shree Shyam and Co,04-Dec-2025 02:49 PM,Rejected-Finance,Not Winner in Lottery System,17-Jan-2026 06:45 PM,1.0,3278588.0,Tapas Kumar Sahoo,INR,"2,932,305.77",EE,Internal,DAo estimator,BIJAY KUMAR TARAI,17-Jan-2026 06:45 PM,finsummary_567215.pdf (60.04 KB),Technical,Opened,PRATYUSA KUMAR MALLA,13-Dec-2025 12:10 PM,,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,2025_OLIC_121931_38,EEDKL(OLIC)-03/2025-26,installation and Energisation of Bega-III L.I.P under Gondia Block in Dhenkanal District.,AOC,1,ICICI BANK,26-Nov-2025 04:00 PM,05-Dec-2025 11:00 AM,26-Nov-2025 04:00 PM,04-Dec-2025 05:00 PM,NA ,NA ,26-Nov-2025 04:00 PM,04-Dec-2025 05:00 PM,22-Dec-2025 09:00 AM,installation and Energisation of Bega-III L.I.P under Gondia Block in Dhenkanal District.,installation and Energisation of Bega-III L.I.P under Gondia Block in Dhenkanal District.,Please refer Tender documents. ,NA ,"29,35,241",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Dhenkanal,759001.0,NA ,NA ,NA ,"EE, LI Division, Dhenkanal",No ,No,"7,080",0.0,Nil,Nil,No,"EE, LI Division, Dhenkanal","EE, LI Division, Dhenkanal","29,352",Yes,fixed,,Nil,Nil,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,EEDKL(OLIC)-03/2025-26,2025_OLIC_121931_38,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD in online mode, RC, PAN, GST, Affidavit and others as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,2,3278588,Tapas Kumar Sahoo,04-Dec-2025 02:35 PM,Accepted-AOC,Awarded,17-Jan-2026 06:49 PM,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
