Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
15-Jan-2026,"INR 1,695,583.22",60.0,Satya Prakash Tripathy,15-Jan-2026 12:22 PM,AOC.pdf (1146.00 KB),Date of agreement 23.10.2025 Date of completion 23.12.2025,Municipal Bodies||Angul Municipality,2025_ORULB_116179_15,EO/AGLM-07/2025-26,Construction of paver road at Gouda sahi in ward No.11,1.0,3025340.0,MANSA MODI,INR,"1,441,415",1,3027846,Asish Kumar Mohury,07-Aug-2025 10:50 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,Finance,10 no. bidders participated,Satya Prakash Tripathy,13-Aug-2025 12:00 PM,,BOQ Comparative Chart,"Akshya Kumar Samant, Chairperson",Internal,"Sri Akshya Kumar Samant,Chairperson,Angul Municipality,Sri Satya Prakash Tripathy, E.O.,Angul Municipality,Sri Harihar Naik,ATO, Angul,Sri Asit Kumar Nayak, M.E,Angul Municipality",Satya Prakash Tripathy,07-Jan-2026 12:23 PM,finsummary_547715.pdf (678.54 KB),"Akshya Kumar Samant, Chairperson",Internal,"Sri Akshya Kumar Samant,Chairperson,Angul Municipality,Sri Satya Prakash Tripathy, E.O.,Angul Municipality,Sri Harihar Naik,ATO, Angul,Sri Asit Kumar Nayak, M.E,Angul Municipality",Satya Prakash Tripathy,31-Dec-2025 01:56 PM,techsummary_547715.pdf (635.38 KB),AOC,Municipal Bodies||Angul Municipality,EO/AGLM-07/2025-26,2025_ORULB_116179_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,"O/O Executive Officer, Angul Municipality","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD online, RC,GSTIN,PAN,Affidavit and other document as per DTCN",29-Jul-2025 10:00 AM,11-Aug-2025 11:00 AM,29-Jul-2025 10:00 AM,08-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 10:00 AM,08-Aug-2025 05:00 PM,Construction of paver road at Gouda sahi in ward No.11,Construction of paver road at Gouda sahi in ward No.11,Please refer Tender documents. ,NA ,"16,95,583",Civil Works - Others,NA ,Tender,90.0,60.0,Angul,759122.0,NA ,NA ,NA ,"O/O Executive Officer, Angul Municipality",No ,No,"17,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,3028391,BHAGIRATHI MAJHI,08-Aug-2025 01:57 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3026309,BIDYADHAR SAHU,06-Aug-2025 10:55 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3025340,MANSA MODI,06-Aug-2025 09:26 AM,Accepted-AOC,Lottery winner,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3024058,NILAKANTHA SAHU,05-Aug-2025 12:47 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3028787,PRASANTA KUMAR SAHU,08-Aug-2025 04:28 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3027885,SAROJ KUMAR NAIK,08-Aug-2025 06:37 AM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3027957,Saroj Kumar Sen,08-Aug-2025 08:59 AM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3027873,SHAKTI PRASAD MISHRA,07-Aug-2025 11:18 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3028112,SMT. PRATIMA BEHERA,08-Aug-2025 12:02 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:22 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
