Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",e-Procurement Notice No.- 05 of 2025-26,2025_CELBB_121201_18,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,GSTIN PAN Contractor R.C Affidavits undertakings Bid declaration No Relation Certificate,"10,000",0.0,Nil,Nil,No,"81,400",Yes,fixed,,Nil,Nil,"Superintending Engineer., Nimapara Irr Divn.","Office of the Superintending Engineer Nimapara Irrigation Division, Nimapara Puri.",NID-166- Improvement to Service Road on Bayakuda Sub-Minor from RD 0.00Km. to 1.300Km.,Improvement to Service Road on Bayakuda Sub-Minor from RD 0.00Km. to 1.300Km.,Please refer Tender Documents ,NA ,"81,35,312",Civil Works - Canal,Canal ,Tender,90.0,180.0,Nimapara,752106.0,NA ,NA ,NA ,"S.E., Nimapara Irr Divn. Nimapara",No ,No,14-Nov-2025 11:00 AM,29-Nov-2025 11:00 AM,14-Nov-2025 11:00 AM,28-Nov-2025 05:30 PM,14-Nov-2025 11:00 AM ,23-Nov-2025 05:30 PM ,14-Nov-2025 11:00 AM,28-Nov-2025 05:30 PM,09-Dec-2025 10:00 AM,1.0,ICICI BANK,AOC,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",BISHAL KESHARI SINGH,22-Jan-2026 05:35 PM,finsummary_564145.pdf (1706.12 KB),Technical,All the bidders have been downloaded successfully.,BISHAL KESHARI SINGH,07-Dec-2025 06:21 PM,technical_564145.pdf,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",Pritam Pothal,08-Dec-2025 06:37 PM,09-Dec-2025 10:00 AM,techsummary_564145.pdf (696.07 KB),Finance,All the bids are downloaded successfully.,SATYENDRA PARIDA,09-Dec-2025 05:13 PM,finance_564145.pdf,BOQ Comparative Chart,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2025_CELBB_121201_18,e-Procurement Notice No.- 05 of 2025-26,NID-166- Improvement to Service Road on Bayakuda Sub-Minor from RD 0.00Km. to 1.300Km.,1.0,3257876.0,GITANJALI PIDIKA,INR,"7,566,654",1,3261811,ABHIJIT SWAIN,27-Nov-2025 09:34 PM,Rejected-Finance,Not won in the transparent Lottery,22-Jan-2026 05:35 PM,25-Jan-2026,"INR 7,566,654",180.0,Pritam Pothal,25-Jan-2026 06:20 PM,NID166.pdf (976.00 KB),"L1 bid of Sri GITANJALI PIDIKA selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",1.0,Improvement to Service Road on Bayakuda Sub-Minor from RD 0.00Km. to 1.300Km.,Tender Revocation,06-Dec-2025 05:39 PM,revocation166.pdf ,215.53,Technical Opening,AOC
,,,,,,,,,,,,,,,,.pdf,any other document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3262047,AJAY KUMAR BEHERA,28-Nov-2025 01:18 PM,Rejected-Finance,Not won in the transparent Lottery,22-Jan-2026 05:35 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3255538,ALOK SENAPATI,27-Nov-2025 12:40 PM,Rejected-Finance,Not won in the transparent Lottery,22-Jan-2026 05:35 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3264093,ANIL KUMAR SATAPATHY,28-Nov-2025 03:32 PM,Rejected-Technical,Technically Not Qualified,08-Dec-2025 06:37 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3260167,BHABANI SANKAR SWAIN,27-Nov-2025 02:15 PM,Rejected-Finance,Not won in the transparent Lottery,22-Jan-2026 05:35 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3247918,CLAVAX POWER PRIVATE LIMITED,26-Nov-2025 06:19 PM,Rejected-Finance,Not won in the transparent Lottery,22-Jan-2026 05:35 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3260398,DEEPAK PRASA BARIK,27-Nov-2025 03:24 PM,Rejected-Finance,Not won in the transparent Lottery,22-Jan-2026 05:35 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3261266,DILLIP KUMAR SITHA,27-Nov-2025 06:47 PM,Rejected-Finance,Not won in the transparent Lottery,22-Jan-2026 05:35 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3257876,GITANJALI PIDIKA,27-Nov-2025 02:03 PM,Accepted-AOC,"L1 bid of Sri GITANJALI PIDIKA selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",25-Jan-2026 06:20 PM,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3264556,GURU PRASAD MOHARANA,28-Nov-2025 04:52 PM,Rejected-Finance,Not won in the transparent Lottery,22-Jan-2026 05:35 PM,,,,,,,,,,,,,,,AOC
