Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Stage
Finance,Tender will be finalized after downloaded Bid documents scrutinized.,Babina Sahu,11-Nov-2025 05:41 PM,finance_559152.pdf,BOQ Comparative Chart,1.0,3169418.0,MUNA SETHI,INR,"1,071,447",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_120211_4,Online Tender/12/SERWD-II/2025-26,S/R RD Road to (Gadagovindapur) Kalingadola via Dabarsingi for the year 2025-26,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,16-Jan-2026 02:33 PM,finsummary_559152.pdf (3392.77 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,16-Jan-2026 02:28 PM,techsummary_559152.pdf (1651.81 KB),1,3174637,AJIT KUMAR SAHU,02-Nov-2025 04:14 PM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,16-Jan-2026,"INR 1,071,447",30.0,Sudipta Senapati,16-Jan-2026 02:37 PM,3GadagovindapurKalingadolaWO.pdf (902.00 KB),Work Order,AOC,28-Oct-2025 12:00 PM,04-Nov-2025 11:00 AM,28-Oct-2025 12:00 PM,03-Nov-2025 05:00 PM,28-Oct-2025 12:00 PM ,03-Nov-2025 12:00 PM ,28-Oct-2025 12:00 PM,03-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/12/SERWD-II/2025-26,2025_CERWI_120211_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Corrigendum,Other,,S/R RD Road to (Gadagovindapur) Kalingadola via Dabarsingi for the year 2025-26,S/R RD Road to (Gadagovindapur) Kalingadola via Dabarsingi for the year 2025-26,Please refer Tender documents. ,NA ,"12,61,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,"6,000",0.0,Nil,Nil,No,"12,700",Yes,fixed,,Nil,Nil,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur",1.0,Fee/PreQual/Technical/Finance,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3176388,AMAR SETHI,03-Nov-2025 01:36 PM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3171011,AMULYA NARAYAN NAYAK,01-Nov-2025 09:14 PM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3174363,BARIKA PRADHAN,02-Nov-2025 02:18 PM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3177460,DEBASIS KUMAR SAHU,03-Nov-2025 03:39 PM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3175892,DUKHISHYAM SAHU,03-Nov-2025 02:11 AM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3171567,DURYODHAN PRADHAN,03-Nov-2025 03:07 PM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3170083,Gouri Sankar Pradhan,01-Nov-2025 11:12 AM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3172059,Jeetendra Kumar Pradhan,01-Nov-2025 02:47 PM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3170415,Judhishthir Gouda,02-Nov-2025 04:01 PM,Rejected-AOC,Unsuccessful Bidder,16-Jan-2026 02:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
