Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate",SR to PWD road to Kolanpur road for the Year 2025-26,SR to PWD road to Kolanpur road for the Year 2025-26,Refer tender documents ,NA ,"20,17,053",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,"20,171",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-08/2025-26,2025_CERWI_119906_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack",24-Oct-2025 09:00 AM,03-Nov-2025 11:00 AM,24-Oct-2025 09:00 AM,01-Nov-2025 05:00 PM,24-Oct-2025 09:00 AM ,31-Oct-2025 05:00 PM ,24-Oct-2025 09:00 AM,01-Nov-2025 05:00 PM,AOC,"Superintending Engineer, R.W. Division, Cuttack",Internal,DAO and A.E (Estimators),Debipriya Mohanty,26-Jan-2026 09:24 PM,finsummary_557620.pdf (2364.84 KB),"Superintending Engineer, R.W. Division, Cuttack",Internal,DAO and A.E (Estimators),Debipriya Mohanty,26-Jan-2026 09:12 PM,techsummary_557620.pdf (2364.84 KB),27-Jan-2026,"INR 1,714,697",30.0,Sudhakar Naik,27-Jan-2026 11:08 AM,12394.pdf (2365.00 KB),Work awarded to Bibhuti Bhusan Sahoo vide Divisional Agreement No.215 P1 OF 2025-26,1,3154279,BANDITA BHUYAN,31-Oct-2025 01:50 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,1.0,3167626.0,BIBHUTI BHUSAN SAHOO,INR,"1,714,697",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119906_25,RWD CTC-08/2025-26,SR to PWD road to Kolanpur road for the Year 2025-26,Finance,All bidder are accepted.,Debipriya Mohanty,21-Nov-2025 08:55 PM,,BOQ Comparative Chart,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3167626,BIBHUTI BHUSAN SAHOO,31-Oct-2025 02:03 PM,Accepted-AOC,Work awarded to Bibhuti Bhusan Sahoo vide Divisional Agreement No.215 P1 OF 2025-26,27-Jan-2026 11:09 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3172650,Bijaya Kumar Rana,01-Nov-2025 04:54 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3169179,KAMALA KANTA SAHOO,31-Oct-2025 12:48 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3170567,LIPU KUMAR MALL,31-Oct-2025 11:06 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3162644,MADHUSMITA SWAIN,28-Oct-2025 03:33 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3168487,MAHESWAR BEHURA,30-Oct-2025 05:42 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3170413,MIHIR MISHRA,31-Oct-2025 05:54 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3169134,SAMARENDRA KUMAR SAMAL,31-Oct-2025 12:19 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3167306,SATYA RANJAN JENA,30-Oct-2025 01:22 PM,Rejected-Finance,Other than L1,26-Jan-2026 09:24 PM,,,,,,,,,,,,,,,,AOC
