Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"6,000",0.0,Nil,Nil,No,S.E Nayagarh,"SE, NAYAGARH IRRIGATION DIVISION","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE Nayagarh Irri.Divn. Nayagarh",BID IDENTIFICATION NO.SE_06_NGR_OF 2025-26,2025_CELBB_119429_20,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"VALID CDMS,GST,PAN,REG CERTIFICATE, NO RELATION,AFFIDEFIT, OTHER DOCUMENT AS DTCN",1.0,ICICI BANK,15-Oct-2025 03:00 PM,28-Oct-2025 11:00 AM,15-Oct-2025 03:00 PM,27-Oct-2025 05:00 PM,NA ,NA ,15-Oct-2025 03:00 PM,27-Oct-2025 05:00 PM,"32,600",Yes,fixed,,Nil,Nil,Protection to Mahanadi right bank such as construction of Guard wall for improvement of Park near Banapur for 2025-26,Protection to Mahanadi right bank such as construction of Guard wall for improvement of Park near Banapur for 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,NAYAGARH,752069.0,NA ,NA ,NA ,"SE, NAYAGARH IRRIGATION DIVISION",No ,No,AOC,SE Nayagarh,Internal,"Er.Baikunthanath Dalei,Superintending Engineer,Pradip Kumar Sahoo(DAO), Er.Sanjeet Kumar Sahoo Estimator,Er.Arati Pradhan,JE Estimator",Baikuntha Dalai,07-Jan-2026 10:36 AM,techsummary_555882.pdf (260.09 KB),SE Nayagarh,Internal,"Er.Baikunthanath Dalei,Superintending Engineer,Pradip Kumar Sahoo(DAO), Er.Sanjeet Kumar Sahoo Estimator,Er.Arati Pradhan,JE Estimator",Baikuntha Dalai,07-Jan-2026 06:16 PM,finsummary_555882.pdf (260.09 KB),Finance,Out of total 52 nos of bidders 52 nos of bidders Technically qualified for opening of financial bid.,Baikuntha Dalai,22-Dec-2025 11:31 AM,,BOQ Comparative Chart,1,3144225,AMIT KUMAR SAMANTARA,22-Oct-2025 09:53 PM,Accepted-AOC,Successful during Transparent Lottery,08-Jan-2026 03:42 PM,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE Nayagarh Irri.Divn. Nayagarh",2025_CELBB_119429_20,BID IDENTIFICATION NO.SE_06_NGR_OF 2025-26,Protection to Mahanadi right bank such as construction of Guard wall for improvement of Park near Banapur for 2025-26,1.0,3144225.0,AMIT KUMAR SAMANTARA,INR,"2,765,434.22",08-Jan-2026,"INR 2,765,434.22",90.0,Baikuntha Dalai,08-Jan-2026 03:42 PM,20.pdf (614.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3147349,ANANDA KUMAR PANDA,24-Oct-2025 12:18 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3156005,ARPITA SARGAM SAHOO,26-Oct-2025 08:28 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3140619,ASHUTOSH BALIARSINGH,21-Oct-2025 06:16 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3146376,ASWINI KUMAR BEHERA,24-Oct-2025 08:53 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3158183,BIKASH CHANDRA DIHUDI,27-Oct-2025 12:41 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3146492,BIKASH CHANDRA ROUT,23-Oct-2025 06:55 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3146977,BIRANCHI NARAYAN PRADHAN,25-Oct-2025 12:36 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3155904,BISAL KUMAR MOHARANA,26-Oct-2025 08:06 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3156471,BISWARANJAN ROUTRAY,26-Oct-2025 10:53 PM,Rejected-AOC,Unsuccessful during Transparent Lottery,08-Jan-2026 03:42 PM,,,,,,,,,,,,,,,,,AOC
