S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"4,150",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cover I Technical Bid,"Unit Head, CHEP, Chiplima","O/o the General Manager (El.), OHPC Ltd., At/PO-Chiplima, Via-C.A. Chiplima, Dist.-Sambalpur-768025","2,000",360.0,Nil,Nil,No,27-Oct-2025 11:00 AM,11-Nov-2025 12:30 PM,27-Oct-2025 11:00 AM,10-Nov-2025 05:00 PM,27-Oct-2025 11:00 AM ,03-Nov-2025 05:00 PM ,27-Oct-2025 11:00 AM,10-Nov-2025 05:00 PM,21-Nov-2025 11:50 AM,Renovation of Security Room at HR and GH,"Renovation of Security Room at Hanger Store and Guest House of CHEP, Chiplima",As per DTCN ,NA ,"4,14,015",Civil Works - Others,NA ,Tender,120.0,60.0,"Hanger Store and Guest House of CHEP, Chiplima",768025.0,NA ,NA ,NA ,"O/o the General Manager (El.), CHEP, Chiplima",No ,No,Odisha Hydro Power Corporation Ltd||Chiplima H.E. Project Chiplima,CHEP-36/2025-26 (Sl. No.3),2025_OHPCL_119952_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Odisha Hydro Power Corporation Ltd||Chiplima H.E. Project Chiplima,2025_OHPCL_119952_1,CHEP-36/2025-26 (Sl. No.3),Renovation of Security Room at HR and GH,Technical,The Cover I Technical Bids of the participated bidders are opened.,Suman Kumar Malik,13-Nov-2025 04:58 PM,technical_557804.pdf,"Er. B. Ramasankar Subudhi, Unit Head, CHEP, Chiplima",Internal,"Er. Niranjan Mahapatra, Divisional Head, UDC, Mr. Suman Malik, Finance Wing Head, Er. Bibhu Prasad Gantayat, Technical Wing Head",Suman Kumar Malik,20-Dec-2025 03:49 PM,finsummary_557804.pdf (516.17 KB),1.0,3206561.0,ASHOK KUMAR SWAIN,INR,"351,954",1,3206561,ASHOK KUMAR SWAIN,10-Nov-2025 12:57 PM,Accepted-AOC,Selected in Transparent Lottery System,22-Jan-2026 12:27 PM,22-Dec-2025,"INR 351,954",60.0,Suman Kumar Malik,22-Jan-2026 12:26 PM,4968.pdf (7197.00 KB),"Work Order is awarded to M/s Sujal Steel Industries, Sambalpur","Er. B. Ramasankar Subudhi, Unit Head, CHEP, Chiplima",Internal,"Er. Niranjan Mahapatra, Divisional Head, Utility Division, Mr. Suman Ku. Malik, Finance Wing Head, Er. Bibhu Prasad Gantayat, Technical Wing Head",Suman Kumar Malik,18-Nov-2025 01:31 PM,21-Nov-2025 11:50 AM,techsummary_557804.pdf (480.25 KB),Finance,The Cover II Financial Bids of the technically qualified bidders are opened.,Suman Kumar Malik,21-Nov-2025 04:28 PM,finance_557804.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,Cover II Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3204645,M/s Shree Sai Electrical,10-Nov-2025 02:36 PM,Rejected-Finance,Not Selected in Transparent Lottery System,20-Dec-2025 03:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3193260,N GOPAL KRISHNA,09-Nov-2025 01:54 AM,Rejected-Finance,Not Selected in Transparent Lottery System,20-Dec-2025 03:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3206604,SANJAY KUMAR PUJARI,10-Nov-2025 01:16 PM,Rejected-Finance,Not Selected in Transparent Lottery System,20-Dec-2025 03:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3200331,SHIV PRASAD SINGH,09-Nov-2025 11:29 AM,Rejected-Finance,Not Selected in Transparent Lottery System,20-Dec-2025 03:49 PM,,,,,,,,,,,,,,,,,,,,,AOC
