Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage
Finance,Bid opened,Gyana Nayak,05-Feb-2025 11:00 AM,,BOQ Comparative Chart,1.0,2675525.0,Young Engg And Calibration Services Pvt Ltd,INR,"270,550",EIC-CIVIL||EIC-CIVIL,2024_EICCL_107238_1,05-DDR-RDQP-24-25,"Calibration of Equipment / Machineries in Three numbers of Laboratories under Quality control (RAND B) Division, Bhubaneswar during the financial year 2024-25",Deputy Director Research,Internal,,Gyana Nayak,16-Jan-2026 01:33 PM,finsummary_516936.pdf (980.36 KB),Deputy Director Research,Internal,,Gyana Nayak,09-Jan-2026 12:15 PM,techsummary_516936.pdf (980.36 KB),1,2669494,AxisCal Instruments Pvt Ltd,29-Nov-2024 02:56 PM,Rejected-AOC,3rd lowest bidder,16-Jan-2026 01:53 PM,16-Jan-2026,"INR 270,550",15.0,Gyana Nayak,16-Jan-2026 01:53 PM,supplyorder.pdf (1264.00 KB),AOC,"5,500",Yes,fixed,,Nil,Nil,"2,000",0.0,Nil,Nil,No,EIC-CIVIL||EIC-CIVIL,05-DDR-RDQP-24-25,2024_EICCL_107238_1,Yes,Open Tender,Item Rate,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per QCN,20-Nov-2024 11:30 AM,16-Dec-2024 04:30 PM,20-Nov-2024 11:30 AM,16-Dec-2024 03:30 PM,NA ,NA ,20-Nov-2024 11:30 AM,16-Dec-2024 03:30 PM,"DEPUTY DIRECTOR RESEARCH, RDAND QP","DEPUTY DIRECTOR RESEARCH, RDAND QP, UNIT-4 , SACHIVALAYA MARG , BHUBANESWAR","Calibration of Equipment / Machineries in Three numbers of Laboratories under Quality control (RAND B) Division, Bhubaneswar during the financial year 2024-25","Calibration of Equipment / Machineries in Three numbers of Laboratories under Quality control (RAND B) Division, Bhubaneswar during the financial year 2024-25",AS PER QCN ,NA ,,Miscellaneous Services,NA ,Tender,90.0,15.0,BHUBANESWAR,751001.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,1.0,2nd corrigendum,Date,,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2684045,EIE INSTRUMENTS PVT LTD,10-Dec-2024 06:12 PM,Rejected-Finance,5th lowest bidder,16-Jan-2026 01:33 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2693909,PERFECT SOLUTIONS,12-Dec-2024 04:26 PM,Rejected-Finance,4th lowest bidder,16-Jan-2026 01:33 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2690178,RUTVIKA INSPECTION AND TESTING SERVICES PVT LTD,11-Dec-2024 11:51 AM,Rejected-AOC,2nd lowest bidder,16-Jan-2026 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2675525,Young Engg And Calibration Services Pvt Ltd,06-Dec-2024 05:19 PM,Accepted-AOC,1st lowest bidder,16-Jan-2026 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
