Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Paralakhemundi,05/2025-26,2025_OLIC_120963_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, L.I. Division, Paralakhemundi","Executive Engineer, L.I. Division, Paralakhemundi",1.0,ICICI BANK,"18,067",Yes,percentage,1.0%,Nil,Nil,Installation and Energisation of Kashinagar_XVI TW Project of Kashinagar Block under Gajapati District,Installation and Energisation of Kashinagar_XVI TW Project of Kashinagar Block under Gajapati District,Please refer Tender documents. ,NA ,"18,06,654",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,"Executive Engineer, L.I. Division, Paralakhemundi",761200.0,NA ,NA ,NA ,"Executive Engineer, L.I. Division, Paralakhemundi",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"7,080",0.0,Nil,Nil,Yes,12-Nov-2025 11:00 AM,20-Nov-2025 11:00 AM,12-Nov-2025 11:00 AM,19-Nov-2025 05:00 PM,12-Nov-2025 11:00 AM ,17-Nov-2025 05:00 PM ,12-Nov-2025 11:00 AM,19-Nov-2025 05:00 PM,AOC,03-Jan-2026,"INR 1,806,654.019",90.0,RAGHUNATH BEHERA,03-Jan-2026 11:23 AM,KASHINAGARXVI.pdf (27860.00 KB),1.0,3238631.0,SAROJ JENA,19-Nov-2025 03:58 PM,Accepted-AOC,Lowest Rate Qouted,03-Jan-2026 11:23 AM,RAGHUNATH BEHERA,Internal,Rahgunath Behera Manoj Kumar Patro Prasan Kumar Rana Bijaya Behera,RAGHUNATH BEHERA,03-Jan-2026 11:15 AM,techsummary_562828.pdf (388.44 KB),RAGHUNATH BEHERA,Internal,Rahgunath Behera Manoj Kumar Patro Prasan Kumar Rana Bijaya Behera,RAGHUNATH BEHERA,03-Jan-2026 11:17 AM,finsummary_562828.pdf (388.44 KB),Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Paralakhemundi,2025_OLIC_120963_19,05/2025-26,Installation and Energisation of Kashinagar_XVI TW Project of Kashinagar Block under Gajapati District,1.0,3238631.0,SAROJ JENA,INR,"1,806,654.019",Finance,"Tender bid successfully opened. Hence, the bid accepted.",RAGHUNATH BEHERA,22-Nov-2025 10:31 AM,finance_562828.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,AOC,,,,,,,2.0,3235458.0,SUNIL KUMAR BEHERA,18-Nov-2025 04:42 PM,Rejected-Technical,"AMONG THE BIDDERS, M/S SUNIL KUMAR BEHERA HAS NOT SUBMITTED MANDATORY DOCUMENTS AS SPECIFIED IN THE DTCN ON THIS PORTAL. HENCE THEIR BID IS REJECTED FROM CONSIDERATION FOR L1 STATUS",03-Jan-2026 11:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
