Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_118639_36,14/OPHWC/2025-26,"Constn. of 30 Men Barrack at Khariar (SDPO Office Campus), Nuapada",1.0,3134448.0,SHIVA RANJAN SAHU,INR,"10,065,387",1,3131611,ABHIMANYU NAIK,17-Oct-2025 07:10 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,03-Dec-2025 07:12 PM,01-Jan-2026,"INR 10,065,387",300.0,Bikram Keshari Malla,01-Jan-2026 04:45 PM,NUAPADA.pdf (83.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 31.12.2025,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,03-Dec-2025 07:12 PM,04-Dec-2025 10:30 AM,techsummary_554280.pdf (199.01 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,04-Dec-2025 10:45 AM,,BOQ Comparative Chart,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,01-Jan-2026 04:41 PM,finsummary_554280.pdf (737.60 KB),Technical,8 Nos. of bidders have been participated,LAXMIPRIYA NAYAK,23-Oct-2025 05:41 PM,,AOC,1.0,ICICI BANK,"1,18,400",Yes,fixed,,Nil,Nil,26-Sep-2025 06:55 PM,20-Oct-2025 10:30 AM,26-Sep-2025 06:55 PM,18-Oct-2025 05:00 PM,NA ,NA ,26-Sep-2025 06:55 PM,18-Oct-2025 05:00 PM,04-Dec-2025 10:30 AM,"Constn. of 30 Men Barrack at Khariar (SDPO Office Campus), Nuapada",Building Work,Please refer Tender documents. ,NA ,"1,18,40,238",Civil Works - Buildings,NA ,Tender,90.0,300.0,Nuapada,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,14/OPHWC/2025-26,2025_OSPHW_118639_36,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC
,,,,,,,,,2,3134218,Debasish Sahu,18-Oct-2025 01:43 PM,Rejected-Finance,DUE TO L1 BIDDER BUT UNSUCCESSFUL IN TRANSPARENT LOTTERY SYSTEM,01-Jan-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC
,,,,,,,,,3,3122281,GYANA PRAKASH BISWAL,10-Oct-2025 03:33 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110 (k) and adequate valid document to secure qualifying marks in Sch C as per DTCN Cl. No. 13 and 110(f).,03-Dec-2025 07:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,4,3134183,Laxmi Chand Mittal,18-Oct-2025 12:45 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,03-Dec-2025 07:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3122223,Omprakash Biswal,18-Oct-2025 04:24 PM,Rejected-Finance,DUE TO L2 BIDDER,01-Jan-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3133078,Pramod Kumar Das,18-Oct-2025 09:13 AM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,03-Dec-2025 07:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3121081,Sanjaya Kumar Agrawal,15-Oct-2025 03:16 PM,Rejected-Finance,DUE TO L1 BIDDER BUT UNSUCCESSFUL IN TRANSPARENT LOTTERY SYSTEM,01-Jan-2026 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3134448,SHIVA RANJAN SAHU,18-Oct-2025 02:54 PM,Accepted-AOC,QUALIFIED BIDDER,01-Jan-2026 04:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
