Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,Admitted,Jajati Keshari Gadanayak,16-Dec-2025 06:55 PM,,BOQ Comparative Chart,1.0,3260153.0,PIRU CHARAN MURMU,INR,"850,204",CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,2025_CERWI_121523_1,ONLINE-EEBNI-03 of 2025-26,S/R to Bridge over Amrudi nallah on Darjing to Lamsi road in the district of Sundargarh for the year 2025-26,Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,16-Dec-2025 07:00 PM,finsummary_565377.pdf (880.44 KB),Executive Engineer,Internal,Executive Engineer,Jajati Keshari Gadanayak,16-Dec-2025 06:58 PM,techsummary_565377.pdf (880.44 KB),20-Jan-2026,"INR 850,204",60.0,Jajati Keshari Gadanayak,26-Jan-2026 07:22 AM,2.pdf (963.00 KB),Awarded,1,3260429,KESHAB CHANDRA PATRA,27-Nov-2025 03:26 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:00 PM,AOC,"6,000",0.0,Nil,Nil,No,19-Nov-2025 10:00 AM,28-Nov-2025 11:00 AM,19-Nov-2025 10:00 AM,27-Nov-2025 05:00 PM,19-Nov-2025 10:00 AM ,25-Nov-2025 05:00 PM ,19-Nov-2025 10:00 AM,27-Nov-2025 05:00 PM,CE RW I||RW-CIRCLE-SUNDARGARH||RW Division Bonai,ONLINE-EEBNI-03 of 2025-26,2025_CERWI_121523_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,S/R to Bridge over Amrudi nallah on Darjing to Lamsi road in the district of Sundargarh for the year 2025-26,S/R to Bridge over Amrudi nallah on Darjing to Lamsi road in the district of Sundargarh for the year 2025-26,Please refer Tender documents. ,NA ,"10,00,123",Civil Works - Bridges,NA ,Tender,90.0,60.0,Bonai,770038.0,NA ,NA ,NA ,"O/o the Executive Engineer, R.W. Division, Bonai",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits, NRC and required documents as DTCN",Executive Engineer,"O/o the Executive Engineer, R.W. Division, Bonai",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3259623,Manoj Gadhei,27-Nov-2025 12:30 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3260153,PIRU CHARAN MURMU,27-Nov-2025 02:11 PM,Accepted-AOC,Awarded,26-Jan-2026 07:22 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3259133,S.K. INFRA PROJECTS,27-Nov-2025 01:29 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3260361,SUSMITA ACHARYA,27-Nov-2025 03:13 PM,Rejected-Finance,By transparent lottery,16-Dec-2025 07:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
