S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3229284.0,CHANDRA SEKHAR SAHUKAR,INR,"5,084,467.448",Executive Engineer,Internal,,Prasanna Kumar Pattanaik,12-Jan-2026 04:30 PM,finsummary_562925.pdf (402.23 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_120975_1,EERWRGD Online 06 2025 26,Maintenance to KSingpur to Badadwarsahi in Ksingpur Block for the year 2025 26,Technical,Tender Documents to be verified,Sujata Hembram,22-Nov-2025 10:42 AM,,Finance,TENDER DOCUMENT,Prasanna Kumar Pattanaik,12-Jan-2026 04:25 PM,finance_562925.pdf,BOQ Comparative Chart,"DAO, Estimator, Executive Engineer",Internal,,Prasanna Kumar Pattanaik,06-Dec-2025 05:13 PM,06-Dec-2025 06:00 PM,techsummary_562925.pdf (524.38 KB),1,3223033,Akhyaya Kumar Sahu,14-Nov-2025 01:22 PM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,12-Jan-2026,"INR 5,084,467.448",60.0,Prasanna Kumar Pattanaik,12-Jan-2026 04:37 PM,WORKORDERBADADWARSAHI.pdf (2415.00 KB),AOC,10-Nov-2025 10:00 AM,18-Nov-2025 11:00 AM,10-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,10-Nov-2025 10:00 AM ,17-Nov-2025 05:00 PM ,10-Nov-2025 10:00 AM,17-Nov-2025 05:00 PM,06-Dec-2025 06:00 PM,"59,820",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 06 2025 26,2025_CERWI_120975_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Maintenance to KSingpur to Badadwarsahi in Ksingpur Block for the year 2025 26,Maintenance to KSingpur to Badadwarsahi in Ksingpur Block for the year 2025 26,NA ,NA ,"59,82,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,"10,000",0.0,Nil,Nil,No,Executive Engineer,"RURAL WORKS DIVISION, RAYAGADA",1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC and other papers as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3230125,BODEPU SONIA,16-Nov-2025 08:25 PM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3229284,CHANDRA SEKHAR SAHUKAR,16-Nov-2025 01:34 PM,Accepted-AOC,AS PER LOTTER WINER,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3228689,DAITARI BENIA,16-Nov-2025 09:40 AM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3228857,KARAKARIA GAJENDRA,16-Nov-2025 11:15 AM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3228066,KARNI SAPNA,15-Nov-2025 04:58 PM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3229248,MITHUN PATRA,16-Nov-2025 06:59 PM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3228336,PABITRA HUIKA,15-Nov-2025 07:51 PM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3229303,SWAGATIKA BHUYAN,16-Nov-2025 01:39 PM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3223023,TOOFAN KESHARI SAHU,13-Nov-2025 09:33 PM,Rejected-AOC,1st LOWEST,12-Jan-2026 04:38 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
