Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN",20-Nov-2025 11:00 AM,28-Nov-2025 11:00 AM,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,20-Nov-2025 11:00 AM ,26-Nov-2025 05:00 PM ,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,"E.E., L.I. Division, Subarnapur","O/O. the E.E., L.I. Division, Subarnapur",1.0,ICICI BANK,Installation and energisation of KARLAJURI-IV L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),Installation and energisation of KARLAJURI-IV L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),Please refer Tender documents. ,NA ,"34,34,821",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,120.0,Subarnapur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,"7,080",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-03/2025-26,2025_OLIC_121569_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"34,348",Yes,percentage,1.0%,Nil,Nil,AOC,EE,Internal,EE and others,CHANDRAMA PING,17-Jan-2026 11:08 PM,finsummary_565538.pdf (3495.02 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_121569_14,OLIC-SNP-03/2025-26,Installation and energisation of KARLAJURI-IV L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),1.0,3245102.0,BINOD SAHU,INR,"2,919,941",Finance,12 Nos. Bidders Participated,CHANDRAMA PING,25-Dec-2025 10:38 PM,finance_565538.pdf,BOQ Comparative Chart,1,3260099,ABHILASH PRADHAN,27-Nov-2025 01:59 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,17-Jan-2026,"INR 3,434,821.05",120.0,CHANDRAMA PING,17-Jan-2026 11:11 PM,AOC.pdf (3495.00 KB),Success on Lottery System,EE,Internal,EE and others,CHANDRAMA PING,17-Jan-2026 11:03 PM,techsummary_565538.pdf (3495.02 KB),AOC
,,.xls,Bill of Quantity,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3257244,ANANTA SAHU,26-Nov-2025 01:56 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3245102,BINOD SAHU,27-Nov-2025 10:10 AM,Accepted-AOC,Success on Lottery System,17-Jan-2026 11:11 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3260666,DHARMENDRA SAHU,27-Nov-2025 04:37 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3253597,Dukhanasana Sethi,26-Nov-2025 06:35 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3255527,MOHAMMAD ANISH,26-Nov-2025 10:09 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3259400,MS Shree Shyam and Co,27-Nov-2025 01:31 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3255608,NILESH KUMAR JAIN,27-Nov-2025 12:02 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Non deposit of EMD in joint venture with other contractor.,25-Dec-2025 10:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3254019,RADHAKANTA MAHALIK,27-Nov-2025 09:16 AM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3257762,ROHIT KUMAR TRIVEDI,26-Nov-2025 11:04 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3257610,SUDHIRA KARA,27-Nov-2025 12:30 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,3260752,SUPER MAGMA CONTRACTORS PRIVATE LIMITED,27-Nov-2025 04:34 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 11:08 PM,,,,,,,,,,,,,,AOC
