Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Paver block Road at Haldia Daffai Basti Word no-04,Paver block Road at Haldia Daffai Basti Word no-04,Please refer Tender documents. ,NA ,"9,33,033",Civil Works - Others,NA ,Rate Contract,180.0,60.0,BIRMITRAPUR MUNICIPALITY,770033.0,NA ,NA ,NA ,"O/O EXECUTIVE OFFICER,BIRMITRAPUR MUNICIPALITY",No ,No,1.0,ICICI BANK,"EXECUTIVE OFFICER, BIRMITRAPUR MUNICIPALITY","EXECUTIVE OFFICER, BIRMITRAPUR MUNICIPALITY",Municipal Bodies||Birmitrapur Municipality,EO/BRMP/02/2025-26,2025_ORULB_122534_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,"4,000",0.0,Nil,Nil,No,"9,330",Yes,fixed,,Nil,Nil,05-Dec-2025 10:00 AM,16-Dec-2025 11:30 AM,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,NA ,NA ,05-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,AOC,Chairperson,Internal,,RAKSHEE HARIJAN,28-Jan-2026 01:31 PM,finsummary_569310.pdf (42.08 KB),Municipal Bodies||Birmitrapur Municipality,2025_ORULB_122534_6,EO/BRMP/02/2025-26,Paver block Road at Haldia Daffai Basti Word no-04,1.0,3296521.0,ASHOK SUNANI,INR,"793,186.44",Finance,OPEN,RAKSHEE HARIJAN,29-Dec-2025 05:36 PM,finance_569310.pdf,BOQ Comparative Chart,28-Jan-2026,"INR 793,186.44",60.0,RAKSHEE HARIJAN,28-Jan-2026 01:34 PM,135.pdf (1212.00 KB),1,3296521,ASHOK SUNANI,11-Dec-2025 10:37 PM,Accepted-AOC,Win Lottery,28-Jan-2026 01:35 PM,Chairperson,Internal,,RAKSHEE HARIJAN,28-Jan-2026 01:28 PM,techsummary_569310.pdf (42.08 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3300806,MOHAMMAD FAHIM AKHTAR,14-Dec-2025 11:33 AM,Rejected-AOC,Not Win Lottery,28-Jan-2026 01:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3300411,PUSPALATA BARIK,13-Dec-2025 09:23 PM,Rejected-AOC,Not Win Lottery,28-Jan-2026 01:35 PM,,,,,,,AOC
