S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1,ICICI BANK,"8,475",Yes,percentage,1.0%,Nil,Nil,Construction of Community Centre at Old Stadium in Ward No_17,Construction of Community Centre at Old Stadium in Ward No_17,Please refer Tender documents. ,NA ,"8,47,458",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"4,000",0.0,Nil,Nil,No,"Executive Officer, Balasore Municipality","Executive Officer, Balasore Municipality",Municipal Bodies||Balasore Municipality,BM_04_2025_26,2025_ORULB_120702_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Nov-2025 05:00 PM,13-Nov-2025 11:00 AM,03-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM,NA ,NA ,03-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM,AOC,EO ME CP AE AEE,Internal,,Pranabananda Sahu,20-Jan-2026 12:43 PM,techsummary_561438.pdf (1079.43 KB),EO ME CP AE AEE,Internal,,Pranabananda Sahu,20-Jan-2026 12:45 PM,finsummary_561438.pdf (1079.43 KB),Finance,Tender open successfully,Pranabananda Sahu,13-Nov-2025 12:51 PM,,BOQ Comparative Chart,Municipal Bodies||Balasore Municipality,2025_ORULB_120702_12,BM_04_2025_26,Construction of Community Centre at Old Stadium in Ward No_17,1.0,3218001.0,M/S TAPASWINI AGENCY,INR,"838,983.69",1,3218001,M/S TAPASWINI AGENCY,12-Nov-2025 04:30 PM,Accepted-AOC,WO,20-Jan-2026 12:46 PM,20-Jan-2026,"INR 847,458",60.0,Pranabananda Sahu,20-Jan-2026 12:46 PM,WO0412.pdf (960.00 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3217600,SK SHAUDDIN,12-Nov-2025 03:22 PM,Rejected-Technical,L2,20-Jan-2026 12:43 PM,,,,,,,AOC
