Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,17/OPHWC/2025-26,2025_OSPHW_120725_16,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"98,200",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,ICICI BANK,Const. of Chandua FS Bldg. Under Kuliana Block in Mayurbhanj District,Building Work,Please refer Tender documents. ,NA ,"98,24,430",Civil Works - Buildings,NA ,Tender,90.0,365.0,Mayurbhanj,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,04-Nov-2025 05:00 PM,19-Nov-2025 10:30 AM,04-Nov-2025 05:00 PM,18-Nov-2025 05:00 PM,NA ,NA ,04-Nov-2025 05:00 PM,18-Nov-2025 05:00 PM,09-Dec-2025 10:30 AM,AOC,AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,ANANDA CHANDRA PANDA,15-Jan-2026 04:09 PM,finsummary_561692.pdf (399.78 KB),Technical,2 Nos. of bidders have been participated,MONALISHA PADHY,20-Nov-2025 01:06 PM,,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,08-Dec-2025 05:30 PM,09-Dec-2025 10:30 AM,techsummary_561692.pdf (310.45 KB),Finance,FINANCIAL BID OPEN AND COMAPARITVE GENERATED,LAXMIPRIYA NAYAK,09-Dec-2025 12:12 PM,,BOQ Comparative Chart,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_120725_16,17/OPHWC/2025-26,Const. of Chandua FS Bldg. Under Kuliana Block in Mayurbhanj District,1.0,3197671.0,SIBA HANSDA,INR,"8,351,748",1.0,3231705.0,DEBASMITA BHUJABAL,17-Nov-2025 01:25 PM,Rejected-Finance,DUE TO L1 BIDDER BUT UNSUCCESSFUL IN TRANSPARENT LOTTERY SYSTEM,15-Jan-2026 04:09 PM,15-Jan-2026,"INR 8,351,748",365.0,ANANDA CHANDRA PANDA,15-Jan-2026 04:14 PM,KULIANA.pdf (78.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 13.01.2026,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3197671.0,SIBA HANSDA,15-Nov-2025 05:20 PM,Accepted-AOC,QUALIFIED BIDDER,15-Jan-2026 04:14 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
