Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
SUPERINTENDING ENGINEER,Internal,,KUSUMURU SUJATA,01-Dec-2025 01:58 PM,03-Dec-2025 11:00 AM,techsummary_563190.pdf (735.45 KB),Finance,Detailed financial bid summary uploaded.,Mohit Acharya,06-Dec-2025 11:46 AM,finance_563190.pdf,BOQ Comparative Chart,29-Jan-2026,"INR 5,950,368.9",330.0,Saroja Kumar Nayak,29-Jan-2026 11:43 AM,WORKORDERWEIR.pdf (778.00 KB),1,3253979,BEJJIPURAPU NABIN,25-Nov-2025 01:25 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,1.0,3254461.0,SRIMANTA KUMAR PATRO,INR,"5,950,368.9",Technical,Detailed technical bid opening summary uploaded.,KUSUMURU SUJATA,01-Dec-2025 01:53 PM,technical_563190.pdf,"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||EE Paralakhemundi Irr Divn Paralakhemundi",2025_CEBMB_121066_1,SE-GID-03/2025-26,Construction of Piano-key Weir on Mahendratanaya Nalla at Mahendragiri near Kunti Temple of Rayagada Block in Gajapati district.,SUPERINTENDING ENGINEER,Internal,,Saroja Kumar Nayak,29-Jan-2026 11:37 AM,finsummary_563190.pdf (841.20 KB),AOC,"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||EE Paralakhemundi Irr Divn Paralakhemundi",SE-GID-03/2025-26,2025_CEBMB_121066_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"70,000",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,Superintending Engineer,"O/O The Superintending Engineer, Gajapati Irrigation Division, Paralakhemundi",Construction of Piano-key Weir on Mahendratanaya Nalla at Mahendragiri near Kunti Temple of Rayagada Block in Gajapati district.,Construction of Piano-key Weir on Mahendratanaya Nalla at Mahendragiri near Kunti Temple of Rayagada Block in Gajapati district.,Please refer Tender documents. ,NA ,"69,99,611",Civil Works - Others,NA ,Tender,90.0,330.0,MAHENDRAGIRI,761212.0,NA ,NA ,NA ,"O/O The Superintending Engineer, GID, PKD",No ,No,1.0,Fee/PreQual/Technical,.pdf,"REGISTRATION CERTIFICATE, GSTIN, PAN CARD, NO RELATION CERTIFICATE, AFFIDAVIT, EMD, TENDER PAPER COS",11-Nov-2025 10:00 AM,26-Nov-2025 11:00 AM,11-Nov-2025 10:00 AM,25-Nov-2025 05:30 PM,11-Nov-2025 10:00 AM ,17-Nov-2025 05:30 PM ,11-Nov-2025 10:00 AM,25-Nov-2025 05:30 PM,03-Dec-2025 11:00 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,2,3245275,DIPAK JENA,21-Nov-2025 07:33 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY OTHER DOCUMENTS AS PER SBD AND DTCN,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,3,3254116,GABARA PRASANTI,25-Nov-2025 01:50 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,3253741,GOURANGA GOUDA,25-Nov-2025 12:30 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,3245305,KHAGESWAR PATRA,21-Nov-2025 07:51 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,3247521,MANOJ KUMAR DALEI,25-Nov-2025 12:19 AM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,3253851,MASABATULA BHARAT,25-Nov-2025 03:25 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,3250431,POTRAKONDA OMKAR,24-Nov-2025 01:30 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,3251971,RANJAN KUMAR SAHU,24-Nov-2025 06:32 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,3238746,RITIK ROSHAN PATRA,19-Nov-2025 04:28 PM,Rejected-Finance,Non responsive and looser of lottery,29-Jan-2026 11:37 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
