Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"Superintending Engineer, PHD Koraput",Internal,"SE, AEE, DAO and AEE Estimator under this division",Chiranjibi Mahali,17-Jan-2026 05:30 PM,techsummary_567253.pdf (719.01 KB),PHEO||PH Circle Bhawanipatna||PH Division Koraput,2025_PHEO_122041_5,NIT No.8 of 2025-26,"Improvement of WS,SI and SD system for DHH Koraput at Jeypore under SP, D.No.13-4215 SUJALA for the year 2025-26",1.0,3292875.0,ATULYA KUMAR MISHRA,INR,"2,164,767",1,3291279,ALOK PANDA,09-Dec-2025 12:41 PM,Rejected-Finance,Lottery lost,17-Jan-2026 05:35 PM,Finance,All bidders are qualified,Chiranjibi Mahali,16-Dec-2025 01:49 PM,finance_567253.pdf,BOQ Comparative Chart,"Superintending Engineer, PHD Koraput",Internal,"SE, AEE, DAO and AEE Estimator under this division",Chiranjibi Mahali,17-Jan-2026 05:35 PM,finsummary_567253.pdf (719.01 KB),17-Jan-2026,"INR 2,546,485",90.0,Chiranjibi Mahali,17-Jan-2026 05:38 PM,aoc.pdf (2476.00 KB),AOC,AOC,1.0,ICICI BANK,PHEO||PH Circle Bhawanipatna||PH Division Koraput,NIT No.8 of 2025-26,2025_PHEO_122041_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"25,465",Yes,percentage,1.0%,Nil,Nil,"Superintending Engineer, PHD Koraput","Superintending Engineer, PHD Koraput","Improvement of WS,SI and SD system for DHH Koraput at Jeypore under SP, D.No.13-4215 SUJALA for the year 2025-26","Improvement of WS,SI and SD system for DHH Koraput at Jeypore",Please refer Tender documents. ,NA ,"25,46,485",Civil Works - Water Works,NA ,Rate Contract,120.0,90.0,Jeypore,764001.0,NA ,NA ,NA ,"Superintending Engineer, PHD Koraput",No ,No,28-Nov-2025 11:00 AM,11-Dec-2025 11:00 AM,28-Nov-2025 11:00 AM,10-Dec-2025 05:00 PM,28-Nov-2025 11:00 AM ,08-Dec-2025 05:00 PM ,28-Nov-2025 11:00 AM,10-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Registration Certificate- EMD- Paper cost- GSTIN- PAN- Affidavit etc. as per DTCN,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3292875,ATULYA KUMAR MISHRA,10-Dec-2025 01:37 PM,Accepted-AOC,AOC,17-Jan-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,3,3292475,HARSHIT INFRATECH,10-Dec-2025 03:31 PM,Rejected-Finance,Lottery lost,17-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3292918,KRUSHNA CHANDRA DASH,10-Dec-2025 12:42 PM,Rejected-Finance,Lottery lost,17-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3292226,MS SAMPADA BEHURA,10-Dec-2025 12:39 PM,Rejected-Finance,Lottery lost,17-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
