Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
09-Jan-2026,"INR 714,868",30.0,Sudhakar Naik,09-Jan-2026 12:53 PM,11236.pdf (2777.00 KB),Work awarded to Sri Bishal Patra vide Divisional Agreement No.62 P1 OF 2025-26,1.0,3168117.0,BISHAL PATRA,INR,"714,868",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119571_49,RWD CTC-07/2025-26,S/R to Sukarpada to Haladharpur for the year 2025-26,1,3167776,ASIS KUMAR SAHOO,30-Oct-2025 02:21 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,Finance,All bidder are accepted,Debipriya Mohanty,10-Nov-2025 11:19 PM,finance_557212.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,DAO and A.E (Estimators),Sudhakar Naik,09-Jan-2026 12:45 PM,finsummary_557212.pdf (2776.99 KB),Superintending Engineer,Internal,DAO and A.E. (Estimators),Sudhakar Naik,09-Jan-2026 12:34 PM,techsummary_557212.pdf (2776.99 KB),AOC,S/R to Sukarpada to Haladharpur for the year 2025-26,S/R to Sukarpada to Haladharpur for the year 2025-26,Refer tender document ,NA ,"8,40,922",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack",20-Oct-2025 05:00 PM,31-Oct-2025 11:00 AM,20-Oct-2025 05:00 PM,30-Oct-2025 05:00 PM,20-Oct-2025 05:00 PM ,29-Oct-2025 05:00 PM ,20-Oct-2025 05:00 PM,30-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-07/2025-26,2025_CERWI_119571_49,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"8,409",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD PAN Affidavit,correctness and No relation certificate",AOC
,,,,,,,,,,,,,,,,2,3168117,BISHAL PATRA,30-Oct-2025 03:43 PM,Accepted-AOC,Work awarded to Sri Bishal Patra vide Divisional Agreement No.62 P1 OF 2025-26,09-Jan-2026 12:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,3,3166764,"BISWA BIJOYEE MOHAPATRA,PROP.-RIDDHI ENTERPRISES",29-Oct-2025 07:39 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3146179,DILLIP KUMAR DAS,24-Oct-2025 04:57 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3143944,LAXMIPRIYA SAHOO,29-Oct-2025 07:11 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3161950,LIPU KUMAR MALL,28-Oct-2025 10:50 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3164612,LISA MAJHI,28-Oct-2025 10:47 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3165662,MAHESWAR BEHURA,29-Oct-2025 04:55 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3156133,MIR AETSAM UL HAQ,27-Oct-2025 09:32 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3167374,PRATAP KUMAR PRADHAN,30-Oct-2025 01:09 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,3161031,RIJUAN KHAN,27-Oct-2025 08:32 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,3167244,SANTOSH KUMAR SETHY,30-Oct-2025 12:48 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,3166860,SARAT CHANDRA MOHARANA,30-Oct-2025 02:57 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,3166563,SHIBANI BEHERA,29-Oct-2025 05:46 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,3165094,SHRAMISTHA SWAIN,29-Oct-2025 08:22 AM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,3168258,SOUBHAGYA RANJAN BEHERA,30-Oct-2025 04:29 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,17,3166006,SURENDRA NATH SWAIN,29-Oct-2025 02:07 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,18,3162919,UMAKANTA SAHOO,29-Oct-2025 02:33 PM,Rejected-Finance,Other than L1,09-Jan-2026 12:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
