EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"15,510",Yes,fixed,,Nil,Nil,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",1415/LID/KDP/2025-25,2025_OLIC_122812_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,Yes,TRILOCHANPUR_I R.L.,Revival of L.I.Projects,Please refer Tender documents. ,NA ,"15,51,058",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,NA ,KENDRAPARA,754211.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Paper cost/RC/GST/PAN/Joint venture/HT license/Experience and other documents as perDTCN,1.0,ICICI BANK,10-Dec-2025 11:00 AM,17-Dec-2025 11:00 AM,10-Dec-2025 11:00 AM,16-Dec-2025 05:00 PM,10-Dec-2025 11:00 AM ,15-Dec-2025 05:00 PM ,10-Dec-2025 11:00 AM,16-Dec-2025 05:00 PM,"EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPARA","EXECUTIVE ENGINEER L.I.DIVISION,KENDRAPRA",AOC,EXECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,Nimain Charan Sethi,17-Jan-2026 11:11 AM,finsummary_570558.pdf (95.33 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Kendrapara",2025_OLIC_122812_19,1415/LID/KDP/2025-25,TRILOCHANPUR_I R.L.,1.0,3305330.0,ARUNDHATI PRIYADARSHINI,INR,"1,551,085",Finance,11NOS BIDDERS PARTICIPATED IN THIS PACKAGE,Nimain Charan Sethi,26-Dec-2025 03:42 PM,finance_570558.pdf,BOQ Comparative Chart,17-Jan-2026,"INR 1,551,085",90.0,Nimain Charan Sethi,20-Jan-2026 10:43 AM,TRILOCHANPUR_I.pdf (220.00 KB),WON THE LOTTERY,1,3305330,ARUNDHATI PRIYADARSHINI,16-Dec-2025 07:43 AM,Accepted-AOC,WON THE LOTTERY,20-Jan-2026 10:43 AM,ECECUTIVE ENGINEER,Internal,Nimain_Charan_Sethy_Sadhana_Behera_Pradeep_Kumar_Nayak_Debendra_Nath_Jena,Nimain Charan Sethi,26-Dec-2025 03:45 PM,techsummary_570558.pdf (95.33 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3307540,BHARAT SETHI,16-Dec-2025 03:08 PM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3308680,DN CONSTRUCTION,16-Dec-2025 04:34 PM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3306282,GOBINDA SETHI,16-Dec-2025 11:53 AM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3299610,PRADEEP KUMAR DAS,16-Dec-2025 09:37 AM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3306005,RAJIB GANDHI,16-Dec-2025 10:08 AM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3307750,Samira Ranjan Sahoo,16-Dec-2025 02:22 PM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3303733,SAROJINI SETHY,15-Dec-2025 05:55 PM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3308087,SK SOAEB ALLI,16-Dec-2025 04:08 PM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3303964,SUJATA PANDA,16-Dec-2025 02:31 PM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3300616,UMASANKAR JENA,15-Dec-2025 06:46 AM,Rejected-Finance,NOT WON THE LOTTERY,17-Jan-2026 11:11 AM,,,,,,,AOC
