Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Municipal Bodies||Balasore Municipality,2025_ORULB_120702_27,BM_04_2025_26,Construction of ward Office in ward No_31 at Jadapur Mouza,1.0,3198272.0,Debendra Tarai,INR,"1,801,059.64",1,3214479,DEBASHIS SAHU,12-Nov-2025 11:52 AM,Rejected-Technical,L2,20-Jan-2026 12:03 PM,20-Jan-2026,"INR 2,118,644",60.0,Pranabananda Sahu,20-Jan-2026 12:19 PM,WO0427.pdf (1003.00 KB),Finance,Tender open successfully,Pranabananda Sahu,13-Nov-2025 01:25 PM,,BOQ Comparative Chart,EO ME CP AE AEE,Internal,,Pranabananda Sahu,20-Jan-2026 12:17 PM,finsummary_561462.pdf (1085.40 KB),EO ME CP AE AEE,Internal,,Pranabananda Sahu,20-Jan-2026 12:03 PM,techsummary_561462.pdf (1085.40 KB),AOC,"Executive Officer, Balasore Municipality","Executive Officer, Balasore Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Balasore Municipality,BM_04_2025_26,2025_ORULB_120702_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Nov-2025 05:00 PM,13-Nov-2025 11:00 AM,03-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM,NA ,NA ,03-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM,Construction of ward Office in ward No_31 at Jadapur Mouza,Construction of ward Office in ward No_31 at Jadapur Mouza,Please refer Tender documents. ,NA ,"21,18,644",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,ICICI BANK,"21,186",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,3198272,Debendra Tarai,09-Nov-2025 01:31 PM,Accepted-AOC,WO,20-Jan-2026 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,3,3212899,HARISH CHANDRA ACHARYA,12-Nov-2025 12:14 PM,Rejected-Finance,L1,20-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3216381,MONALISHA ENTERPRISE,12-Nov-2025 01:07 PM,Rejected-Finance,L1,20-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3216975,NILAMADHAB SETHI,12-Nov-2025 03:59 PM,Rejected-Finance,L1,20-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3198362,SANJITA MAJHI,08-Nov-2025 06:24 PM,Rejected-Finance,WO,20-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3213173,Sarat Chandra Moharana,12-Nov-2025 11:33 AM,Rejected-Finance,L1,20-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3205926,SUJIT KUMAR MAJHI,11-Nov-2025 12:52 PM,Rejected-Finance,L1,20-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
