Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar",2025_CEDC_120164_1,ACEDC-BBSR/DD-PURI-03/2025-26,"Renovation of Drainage Channel with structures under Delanga Block, Doab-VII",1.0,3197527.0,LUCKY RANJAN PATRA,INR,"25,776,461","AdditionalChiefEngineer,Drainage Circle,Bhubaneswar",Internal,"SE,DD,Puri,EE,DD,Khordha,DAO,DD,Puri,Asst.Addl.ChiefEngineer,Asst.ExecutiveEngineer,Jr.Engineer,DC,BBSR",Nilima Priyadarsini Panda,29-Nov-2025 03:41 PM,01-Dec-2025 11:30 AM,techsummary_558769.pdf (3405.54 KB),09-Jan-2026,"INR 25,776,461",330.0,Nilima Priyadarsini Panda,27-Jan-2026 01:38 PM,AOCDelanga.pdf (474.00 KB),The agmt. has been drawn in favour of Sri Lucky Ranjan Patra vide agmt. no. 77P1/2025-26.,"AdditionalChiefEngineer,Drainage Circle,Bhubaneswar",Internal,"Asst.Addl.ChiefEngineer,Asst.ExecutiveEngineer,Jr.Engineer,DC,BBSR",Nilima Priyadarsini Panda,15-Dec-2025 03:28 PM,finsummary_558769.pdf (3738.63 KB),1,3217247,AMIT KUMAR JENA,12-Nov-2025 01:54 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 01:38 PM,Technical,1. The documents of 29 no. of bidders are successfully downloaded and evaluated. 2. The bids of 29 no. of Bidders were found responsive.,Nilima Priyadarsini Panda,29-Nov-2025 03:36 PM,technical_558769.pdf,Finance,After Financial Evaluation 28 No. of bidders have been found eligible to participate in the Lottery process being L1.,Nilima Priyadarsini Panda,15-Dec-2025 03:02 PM,finance_558769.pdf,BOQ Comparative Chart,AOC,"3,03,217",Yes,fixed,,Nil,Nil,"CE,Drainage,Cuttack||SE Drainage Circle Bhubaneswar",ACEDC-BBSR/DD-PURI-03/2025-26,2025_CEDC_120164_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GSTIN, PAN, Contractor RC and Affidavit, NRC / Relationship Certificate, Other Doc","Addl. Chief Engineer, Drainage Circle,BBSR","O/o the Addl. Chief Engineer, Drainage Circle,BBSR",29-Oct-2025 11:00 AM,13-Nov-2025 11:00 AM,29-Oct-2025 11:00 AM,12-Nov-2025 06:00 PM,29-Oct-2025 11:00 AM ,07-Nov-2025 05:00 PM ,29-Oct-2025 11:00 AM,12-Nov-2025 06:00 PM,01-Dec-2025 11:30 AM,"Renovation of Drainage Channel with structures under Delanga Block, Doab-VII","Earthwork, Cement Concrete, Reinforced Cement Concrete, and RR Stone Works.",Please refer Tender documents. ,NA ,"3,03,21,681",Civil Works - Others,NA ,Tender,90.0,330.0,"Delanga, puri",752015.0,NA ,NA ,NA ,"O/o the Addl. Chief Engineer, Drainage Circle,BBSR",No ,No,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3218048,Amulya Kumar Sahoo,12-Nov-2025 04:14 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 01:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3215422,ANANTA PRASAD MALIK,12-Nov-2025 11:56 AM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 01:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3217302,ASWINI KUMAR SAHOO,12-Nov-2025 02:04 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 01:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3218382,BISWOJIT MALLA,12-Nov-2025 05:42 PM,Rejected-Finance,Rejected Being L2.,15-Dec-2025 03:28 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3214703,CHANDAN MOHANTY,11-Nov-2025 06:55 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 01:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3214874,DEBASHISH PRANAY KUMAR ROUTARAY,11-Nov-2025 09:10 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 01:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3188453,JYOTI RANJAN PATTANAIK,06-Nov-2025 03:22 PM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 01:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3216401,LITUN KUMAR LUHA,12-Nov-2025 11:52 AM,Rejected-AOC,Looser of transparent lottery,27-Jan-2026 01:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3197527,LUCKY RANJAN PATRA,08-Nov-2025 02:46 PM,Accepted-AOC,Winner of transparent lottery,27-Jan-2026 01:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
