S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Date Corrigendum,Date,,"6,000",0.0,Nil,Nil,No,28-Oct-2025 12:15 PM,06-Nov-2025 05:30 PM,28-Oct-2025 12:15 PM,06-Nov-2025 05:00 PM,28-Oct-2025 12:15 PM ,06-Nov-2025 03:00 PM ,28-Oct-2025 12:15 PM,06-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, RC, PAN, GSTIN, Affidavits and other required documents as per DTCN.",SE RWD Udala,SE RWD Udala,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,01(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120111_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SR to Dugdha to Badasingaria Road for the year 2025-26.,SR to Dugdha to Badasingaria Road for the year 2025-26.,Please refer Tender documents. ,NA ,"13,45,000",Civil Works - Roads,NA ,Tender,90.0,30.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,"13,450",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC,SE RWD Udala,Internal,,Haripriya Behera,07-Jan-2026 07:46 AM,finsummary_558603.pdf (1492.09 KB),SE RWD Udala,Internal,,Haripriya Behera,07-Jan-2026 07:42 AM,techsummary_558603.pdf (1492.08 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120111_26,01(Onilne)/RWD/UDALA/2025-26,SR to Dugdha to Badasingaria Road for the year 2025-26.,1.0,3180290.0,NILAMBAR MOHAPATRA,INR,"1,142,983",1,3169397,Akshay Kumar Rout,06-Nov-2025 02:29 AM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,07-Jan-2026,"INR 1,142,983",30.0,Haripriya Behera,07-Jan-2026 07:48 AM,Dugdha26Agt.pdf (769.00 KB),Finance,24 Nos of bidders admitted,Haripriya Behera,07-Jan-2026 07:40 AM,,BOQ Comparative Chart,AOC
2.0,DTCN Corrigendum,Other,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,3173377,BASANTI BEHERA,01-Nov-2025 10:00 PM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3175211,BINOD KUMAR BISWAL,02-Nov-2025 07:39 PM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3187103,BISHESWAR ROUT,06-Nov-2025 06:15 AM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3183930,Dibyabharati Rout,06-Nov-2025 03:50 PM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3181626,INDRAJIT NAYAK,04-Nov-2025 06:31 PM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3181832,JNANA RANJAN BEHERA,05-Nov-2025 09:41 PM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3174506,Kamaljit Pothal,02-Nov-2025 03:25 PM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3178876,Mahendra Khandei,06-Nov-2025 06:43 AM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3177840,MITU NAIK,03-Nov-2025 03:21 PM,Rejected-AOC,L1,07-Jan-2026 07:49 AM,,,,,,,,,,,,,AOC
