Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN No.06 of 2025-26,2025_CERWI_119918_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Repair to BoxCell Culvert (1x3x2) on Gunuda N.H-16 to Bagalpur lvludulisahi Road for the year 2025-26,Repair to BoxCell Culvert (1x3x2) on Gunuda N.H-16 to Bagalpur lvludulisahi Road for the year 2025-26,Please refer Tender documents. ,NA ,"14,29,466",Civil Works - Roads,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the SERW Division-II, Balasore",No ,No,"6,000",0.0,Nil,Nil,No,24-Oct-2025 05:00 PM,04-Nov-2025 11:00 AM,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,24-Oct-2025 05:00 PM ,03-Nov-2025 03:00 PM ,24-Oct-2025 05:00 PM,03-Nov-2025 05:00 PM,"SERW Division-II, Balasore","O/o the SERW Division-II, Balasore",1.0,Add DTCN and Corrigendum,Other,,"14,295",Yes,percentage,1.0%,Nil,Nil,AOC,"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,03-Jan-2026 08:37 PM,finsummary_557590.pdf (203.02 KB),"superintending Engineer,R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,03-Jan-2026 08:32 PM,techsummary_557590.pdf (203.01 KB),1,3157205,JYOTSNARANI CHOUDHURY,31-Oct-2025 08:23 AM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119918_26,E-TCN No.06 of 2025-26,Repair to BoxCell Culvert (1x3x2) on Gunuda N.H-16 to Bagalpur lvludulisahi Road for the year 2025-26,1.0,3178108.0,PRAJNA PARAMITA BARIK,INR,"1,215,189.46",03-Jan-2026,"INR 1,215,189.46",30.0,Amir Kumar Sethy,03-Jan-2026 08:43 PM,119918_26AOC.pdf (428.00 KB),Finance,All documents download and go to next process,Sujata Behera,08-Dec-2025 08:54 AM,finance_557590.pdf,BOQ Comparative Chart,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3166398,MAHASWETA MALIK,30-Oct-2025 07:53 PM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3169068,MANOJ KUMAR PANDIA,31-Oct-2025 09:49 PM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3177004,MANORANJAN NAYAK,03-Nov-2025 01:50 PM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3167914,MONALI PRAVA MUNDA,02-Nov-2025 12:43 PM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3163134,"M/S Jagannath Construction, Prop-Prasanta Nayak",01-Nov-2025 07:36 PM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3165911,MUKTIKANTA MOHANTY,01-Nov-2025 11:22 AM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3176119,PRADEEPTI CHAND,03-Nov-2025 09:32 AM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3178108,PRAJNA PARAMITA BARIK,03-Nov-2025 04:25 PM,Accepted-AOC,Awarded through lottery winner vide Agrt No 133P1 of 2025-26,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3177879,SANGHAMITRA MOHAPATRA,03-Nov-2025 03:29 PM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,11,3164769,SUSANTA KUMAR PANDA,31-Oct-2025 01:59 PM,Rejected-AOC,Rejected,03-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC
