Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN",1.0,ICICI BANK,"E.E., L.I. Division, Subarnapur","O/O. the E.E., L.I. Division, Subarnapur","11,800",0.0,Nil,Nil,No,"1,02,996",Yes,percentage,1.0%,Nil,Nil,"Installation and energisation of MAHULPALI-III, IV and V L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26)","Installation and energisation of MAHULPALI-III, IV and V L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26)",Please refer Tender documents. ,NA ,"1,02,99,629",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,120.0,Subarnapur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-03/2025-26,2025_OLIC_121569_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Nov-2025 11:00 AM,28-Nov-2025 11:00 AM,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,20-Nov-2025 11:00 AM ,26-Nov-2025 05:00 PM ,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,AOC,EE,Internal,EE and others,CHANDRAMA PING,18-Jan-2026 06:41 AM,finsummary_565627.pdf (3495.02 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_121569_17,OLIC-SNP-03/2025-26,"Installation and energisation of MAHULPALI-III, IV and V L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26)",1.0,3255556.0,MOHAMMAD ANISH,INR,"8,755,715",Finance,11 Nos. Bidders Participated,CHANDRAMA PING,25-Dec-2025 10:50 PM,finance_565627.pdf,BOQ Comparative Chart,18-Jan-2026,"INR 10,299,629.08",120.0,CHANDRAMA PING,18-Jan-2026 06:47 AM,AOC.pdf (3495.00 KB),Success on Lottery System,1,3257280,ANANTA SAHU,26-Nov-2025 02:03 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 06:41 AM,EE,Internal,EE and others,CHANDRAMA PING,18-Jan-2026 06:37 AM,techsummary_565627.pdf (3495.02 KB),AOC
,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3245111,BINOD SAHU,27-Nov-2025 10:17 AM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 06:41 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3256668,DEBADATTA KHAMARI,27-Nov-2025 12:15 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 06:41 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3251844,KUBER CONSTRUCTION CO,26-Nov-2025 01:25 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 06:41 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3255556,MOHAMMAD ANISH,26-Nov-2025 10:18 PM,Accepted-AOC,Success on Lottery System,18-Jan-2026 06:47 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3259430,MS Shree Shyam and Co,27-Nov-2025 01:37 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 06:41 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3255600,NILESH KUMAR JAIN,27-Nov-2025 12:09 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Non deposit of EMD in joint venture with other contractor.,25-Dec-2025 10:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3258850,ROHIT KUMAR TRIVEDI,26-Nov-2025 11:29 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 06:41 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3253988,Satyanarayan Pande,27-Nov-2025 11:46 AM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 06:41 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3257616,SUDHIRA KARA,27-Nov-2025 12:37 PM,Rejected-Finance,Unsuccess on Lottery System,18-Jan-2026 06:41 AM,,,,,,,AOC
